#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000948      0.004489     0.003025     0.002505     0.024767     -7394.417102
0.000948      0.036319     0.013979     0.000000     0.094782     10579.376568
0.000938      0.033842     0.014641     0.000000     0.099161     9404.675837
0.000940      0.031922     0.014545     0.000000     0.098679     8279.208817
0.000942      0.030132     0.014425     0.000000     0.098359     7168.869117
0.000944      0.028481     0.014290     0.000000     0.098245     6710.240671
0.000946      0.026951     0.014142     0.000000     0.098354     5629.635187
0.000949      0.025538     0.013985     0.000000     0.098714     5205.595797
0.000952      0.024238     0.013825     0.000000     0.099359     5100.111859
0.000955      0.023048     0.013665     0.000000     0.100326     4753.897056
0.000958      0.021963     0.013509     0.000000     0.101649     4399.296861
0.000961      0.020976     0.013360     0.000000     0.103366     4028.603854
0.000964      0.020080     0.013218     0.000000     0.105513     3325.162015
0.000967      0.019268     0.013086     0.000000     0.108130     2951.649395
0.000969      0.018532     0.012963     0.000000     0.111263     3234.233341
0.000972      0.017866     0.012850     0.000000     0.114958     3103.158653
0.000974      0.017263     0.012746     0.000000     0.119273     2973.145351
0.000976      0.016717     0.012651     0.000000     0.124270     2812.800460
0.000978      0.016222     0.012564     0.000000     0.130023     2616.424942
0.000980      0.015774     0.012485     0.000000     0.136618     2425.695203
0.000982      0.015369     0.012414     0.000000     0.144155     1768.637348
0.000984      0.015002     0.012349     0.000000     0.148183     2010.728989
0.000985      0.014670     0.012290     0.000000     0.147479     2110.302402
0.000986      0.014371     0.012237     0.000000     0.146845     2080.124065
0.000988      0.014102     0.012190     0.000000     0.146276     2032.751381
0.000989      0.013860     0.012147     0.000000     0.145769     1961.099581
0.000991      0.013580     0.012059     0.000000     0.144707     1879.520689
0.000000      0.000000     0.000000     0.000000     0.000000     1768.751285
0.000000      0.000000     0.000000     0.000000     0.000000     1655.485098
0.000000      0.000000     0.000000     0.000000     0.000000     1202.910251
0.000000      0.000000     0.000000     0.000000     0.000000     1513.541314
0.000000      0.000000     0.000000     0.000000     0.000000     1548.281787
0.000000      0.000000     0.000000     0.000000     0.000000     1552.315570
0.000000      0.000000     0.000000     0.000000     0.000000     1535.731951
0.000000      0.000000     0.000000     0.000000     0.000000     1507.262346
0.000000      0.000000     0.000000     0.000000     0.000000     1468.800279
0.000000      0.000000     0.000000     0.000000     0.000000     1418.152601
0.000000      0.000000     0.000000     0.000000     0.000000     1356.724674
0.000000      0.000000     0.000000     0.000000     0.000000     1209.553453
0.000000      0.000000     0.000000     0.000000     0.000000     1070.055678
0.000000      0.000000     0.000000     0.000000     0.000000     1276.041464
0.000000      0.000000     0.000000     0.000000     0.000000     1290.544472
0.000000      0.000000     0.000000     0.000000     0.000000     1303.393183
0.000000      0.000000     0.000000     0.000000     0.000000     1302.881060
0.000000      0.000000     0.000000     0.000000     0.000000     1296.027610
0.000000      0.000000     0.000000     0.000000     0.000000     1283.841118
0.000000      0.000000     0.000000     0.000000     0.000000     1267.920458
0.000000      0.000000     0.000000     0.000000     0.000000     1243.622542
0.000000      0.000000     0.000000     0.000000     0.000000     1212.820406
0.000000      0.000000     0.000000     0.000000     0.000000     1182.911787
0.000000      0.000000     0.000000     0.000000     0.000000     1000.998686
0.000000      0.000000     0.000000     0.000000     0.000000     1146.821416
0.000000      0.000000     0.000000     0.000000     0.000000     1177.999871
0.000000      0.000000     0.000000     0.000000     0.000000     1193.136753
0.000000      0.000000     0.000000     0.000000     0.000000     1200.755510
0.000000      0.000000     0.000000     0.000000     0.000000     1202.756640
0.000000      0.000000     0.000000     0.000000     0.000000     1204.716413
0.000000      0.000000     0.000000     0.000000     0.000000     1200.733178
0.000000      0.000000     0.000000     0.000000     0.000000     1195.218567
0.000000      0.000000     0.000000     0.000000     0.000000     1184.457426
0.000000      0.000000     0.000000     0.000000     0.000000     1175.698119
0.000000      0.000000     0.000000     0.000000     0.000000     1114.228951
0.000000      0.000000     0.000000     0.000000     0.000000     1133.197709
0.000000      0.000000     0.000000     0.000000     0.000000     1180.673613
0.000000      0.000000     0.000000     0.000000     0.000000     1194.434298
0.000000      0.000000     0.000000     0.000000     0.000000     1205.272809
0.000000      0.000000     0.000000     0.000000     0.000000     1216.277804
0.000000      0.000000     0.000000     0.000000     0.000000     1223.103139
0.000000      0.000000     0.000000     0.000000     0.000000     1230.131492
0.000000      0.000000     0.000000     0.000000     0.000000     1236.862534
0.000000      0.000000     0.000000     0.000000     0.000000     1242.713700
0.000000      0.000000     0.000000     0.000000     0.000000     1251.618167
0.000000      0.000000     0.000000     0.000000     0.000000     1258.099704
0.000000      0.000000     0.000000     0.000000     0.000000     1266.091653
0.000000      0.000000     0.000000     0.000000     0.000000     1274.846451
0.000000      0.000000     0.000000     0.000000     0.000000     1284.802924
0.000000      0.000000     0.000000     0.000000     0.000000     1295.389031
0.000000      0.000000     0.000000     0.000000     0.000000     1310.225438
0.000000      0.000000     0.000000     0.000000     0.000000     1326.728712
0.000000      0.000000     0.000000     0.000000     0.000000     1333.246665
0.000000      0.000000     0.000000     0.000000     0.000000     1404.105919
0.000000      0.000000     0.000000     0.000000     0.000000     1465.162647
0.000000      0.000000     0.000000     0.000000     0.000000     1387.744734
0.000000      0.000000     0.000000     0.000000     0.000000     1388.024859
0.000000      0.000000     0.000000     0.000000     0.000000     1387.241267
0.000000      0.000000     0.000000     0.000000     0.000000     1396.304815
0.000000      0.000000     0.000000     0.000000     0.000000     1410.571641
0.000000      0.000000     0.000000     0.000000     0.000000     1427.926914
0.000000      0.000000     0.000000     0.000000     0.000000     1454.875465
0.000000      0.000000     0.000000     0.000000     0.000000     1486.895732
0.000000      0.000000     0.000000     0.000000     0.000000     1535.561563
0.000000      0.000000     0.000000     0.000000     0.000000     1600.606607
0.000000      0.000000     0.000000     0.000000     0.000000     1767.213111
0.000000      0.000000     0.000000     0.000000     0.000000     1952.937285
0.000000      0.000000     0.000000     0.000000     0.000000     1648.029433
0.000000      0.000000     0.000000     0.000000     0.000000     1614.606255
0.000000      0.000000     0.000000     0.000000     0.000000     1591.971859
0.000000      0.000000     0.000000     0.000000     0.000000     1611.985919
