# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.01085209093
0	0.303571	0.01828743286
0	0.339286	0.0240180335
0	0.375	0.02849134006
0	0.410714	0.03147676971
0	0.446429	0.03348448211
0	0.482143	0.03425751391
0	0.517857	0.03204973574
0	0.553571	0.02966627385
0	0.589286	0.02564346008
0	0.625	0.01987145727
0	0.660714	0.01714043849
0	0.696429	0.01059951492
0	0.732143	0.00668319821
0	0.767857	0.00270291482
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.01085209093
2	0.303571	0.01828743286
2	0.339286	0.0240180335
2	0.375	0.02849134006
2	0.410714	0.03147676971
2	0.446429	0.03348448211
2	0.482143	0.03425751391
2	0.517857	0.03204973574
2	0.553571	0.02966627385
2	0.589286	0.02564346008
2	0.625	0.01987145727
2	0.660714	0.01714043849
2	0.696429	0.01059951492
2	0.732143	0.00668319821
2	0.767857	0.00270291482
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.01085209093
4	0.303571	0.01828743286
4	0.339286	0.0240180335
4	0.375	0.02849134006
4	0.410714	0.03147676971
4	0.446429	0.03348448211
4	0.482143	0.03425751391
4	0.517857	0.03204973574
4	0.553571	0.02966627385
4	0.589286	0.02564346008
4	0.625	0.01987145727
4	0.660714	0.01714043849
4	0.696429	0.01059951492
4	0.732143	0.00668319821
4	0.767857	0.00270291482
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.01085209093
6	0.303571	0.01828743286
6	0.339286	0.0240180335
6	0.375	0.02849134006
6	0.410714	0.03147676971
6	0.446429	0.03348448211
6	0.482143	0.03425751391
6	0.517857	0.03204973574
6	0.553571	0.02966627385
6	0.589286	0.02564346008
6	0.625	0.01987145727
6	0.660714	0.01714043849
6	0.696429	0.01059951492
6	0.732143	0.00668319821
6	0.767857	0.00270291482
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.01085209093
8	0.303571	0.01828743286
8	0.339286	0.0240180335
8	0.375	0.02849134006
8	0.410714	0.03147676971
8	0.446429	0.03348448211
8	0.482143	0.03425751391
8	0.517857	0.03204973574
8	0.553571	0.02966627385
8	0.589286	0.02564346008
8	0.625	0.01987145727
8	0.660714	0.01714043849
8	0.696429	0.01059951492
8	0.732143	0.00668319821
8	0.767857	0.00270291482
8	0.803571	0
8	0.839286	0
8	0.875	0
8	0.910714	0
8	0.946429	0

10	0.267857	0.01085209093
10	0.303571	0.01828743286
10	0.339286	0.0240180335
10	0.375	0.02849134006
10	0.410714	0.03147676971
10	0.446429	0.03348448211
10	0.482143	0.03425751391
10	0.517857	0.03204973574
10	0.553571	0.02966627385
10	0.589286	0.02564346008
10	0.625	0.01987145727
10	0.660714	0.01714043849
10	0.696429	0.01059951492
10	0.732143	0.00668319821
10	0.767857	0.00270291482
10	0.803571	0
10	0.839286	0
10	0.875	0
10	0.910714	0
10	0.946429	0

12	0.267857	0.01085209093
12	0.303571	0.01828743286
12	0.339286	0.0240180335
12	0.375	0.02849134006
12	0.410714	0.03147676971
12	0.446429	0.03348448211
12	0.482143	0.03425751391
12	0.517857	0.03204973574
12	0.553571	0.02966627385
12	0.589286	0.02564346008
12	0.625	0.01987145727
12	0.660714	0.01714043849
12	0.696429	0.01059951492
12	0.732143	0.00668319821
12	0.767857	0.00270291482
12	0.803571	0
12	0.839286	0
12	0.875	0
12	0.910714	0
12	0.946429	0

14	0.267857	0.01085209093
14	0.303571	0.01828743286
14	0.339286	0.0240180335
14	0.375	0.02849134006
14	0.410714	0.03147676971
14	0.446429	0.03348448211
14	0.482143	0.03425751391
14	0.517857	0.03204973574
14	0.553571	0.02966627385
14	0.589286	0.02564346008
14	0.625	0.01987145727
14	0.660714	0.01714043849
14	0.696429	0.01059951492
14	0.732143	0.00668319821
14	0.767857	0.00270291482
14	0.803571	0
14	0.839286	0
14	0.875	0
14	0.910714	0
14	0.946429	0

16	0.267857	0.01085209093
16	0.303571	0.01828743286
16	0.339286	0.0240180335
16	0.375	0.02849134006
16	0.410714	0.03147676971
16	0.446429	0.03348448211
16	0.482143	0.03425751391
16	0.517857	0.03204973574
16	0.553571	0.02966627385
16	0.589286	0.02564346008
16	0.625	0.01987145727
16	0.660714	0.01714043849
16	0.696429	0.01059951492
16	0.732143	0.00668319821
16	0.767857	0.00270291482
16	0.803571	0
16	0.839286	0
16	0.875	0
16	0.910714	0
16	0.946429	0

18	0.267857	0.01085209093
18	0.303571	0.01828743286
18	0.339286	0.0240180335
18	0.375	0.02849134006
18	0.410714	0.03147676971
18	0.446429	0.03348448211
18	0.482143	0.03425751391
18	0.517857	0.03204973574
