#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
3.9500000000e+02     1.6527009120e-08    1.0263073606e-08    6.2639355139e-09
4.0000000000e+02     2.9349112859e-09    1.7310820604e-10    2.7618030799e-09
4.0500000000e+02     2.2434320909e-08    1.1792538258e-09    2.1255067083e-08
4.1000000000e+02     4.2359633132e-09    1.6353256335e-10    4.0724307499e-09
4.1500000000e+02     6.6191274324e-06    1.3871616522e-09    6.6177402707e-06
4.2000000000e+02     1.5339824151e-05    3.8512596894e-10    1.5339439025e-05
4.2500000000e+02     6.7175575436e-08    4.9284741070e-10    6.6682728026e-08
4.3000000000e+02     1.4933324140e-07    2.4893120765e-08    1.2444012063e-07
4.3500000000e+02     9.6971586124e-08    9.4995455881e-10    9.6021631565e-08
4.4000000000e+02     9.3638886704e-08    1.9878306493e-10    9.3440103639e-08
4.4500000000e+02     4.7541327979e-06    6.5734612745e-10    4.7534754518e-06
4.5000000000e+02     1.3587404452e-07    1.5196713509e-10    1.3572207738e-07
4.5500000000e+02     1.0756378023e-06    2.3027269153e-10    1.0754075296e-06
4.6000000000e+02     2.3462716572e-08    6.9429349119e-10    2.2768423081e-08
4.6500000000e+02     1.9666082032e-07    5.6918107525e-09    1.9096900957e-07
4.7000000000e+02     3.2360872986e-08    2.3728518775e-10    3.2123587798e-08
4.7500000000e+02     2.8465050477e-08    1.2928076530e-09    2.7172242824e-08
4.8000000000e+02     1.7850307942e-08    7.2208225292e-10    1.7128225689e-08
4.8500000000e+02     3.5343048318e-08    2.4902620338e-09    3.2852786285e-08
4.9000000000e+02     3.0667273982e-09    7.8247624409e-10    2.2842511541e-09
4.9500000000e+02     1.4685779338e-07    6.4884487891e-10    1.4620894850e-07
5.0000000000e+02     3.9952970351e-09    1.7667444915e-10    3.8186225860e-09
5.0500000000e+02     1.0638406803e-08    3.1947285796e-09    7.4436782232e-09
5.1000000000e+02     1.8676923096e-08    2.6189085076e-09    1.6058014589e-08
5.1500000000e+02     1.4860961760e-08    1.2113528528e-09    1.3649608907e-08
5.2000000000e+02     4.4312309410e-08    2.7345298423e-09    4.1577779568e-08
5.2500000000e+02     1.0500433624e-08    3.1137408974e-10    1.0189059534e-08
5.3000000000e+02     3.3439346125e-07    2.9175113738e-07    4.2642323875e-08
5.3500000000e+02     4.5726849370e-09    3.7353362591e-10    4.1991513111e-09
5.4000000000e+02     2.2948561444e-07    2.2777621740e-09    2.2720785226e-07
5.4500000000e+02     1.2841180590e-06    8.8087468691e-09    1.2753093121e-06
5.5000000000e+02     1.5379272706e-08    2.2772787588e-09    1.3101993948e-08
5.5500000000e+02     5.4961878288e-09    5.3478203978e-10    4.9614057890e-09
5.6000000000e+02     7.5906441552e-08    1.2782991406e-10    7.5778611638e-08
5.6500000000e+02     1.0259344972e-08    4.9267122027e-10    9.7666737516e-09
5.7000000000e+02     3.7424281518e-09    2.8598286399e-10    3.4564452878e-09
5.7500000000e+02     1.4125525632e-08    2.2973179313e-10    1.3895793839e-08
5.8000000000e+02     2.4434959438e-09    8.8856147766e-10    1.5549344661e-09
5.8500000000e+02     1.3553448539e-08    6.0166309293e-09    7.5368176094e-09
5.9000000000e+02     5.9338960800e-07    5.1471638149e-07    7.8673226516e-08
5.9500000000e+02     1.6620848099e-07    5.2813619022e-10    1.6568034480e-07
6.0000000000e+02     1.2882543870e-08    2.8017113778e-10    1.2602372732e-08
6.0500000000e+02     2.3678525903e-08    1.0375270569e-09    2.2640998847e-08
6.1000000000e+02     1.0849424770e-07    1.6630588029e-09    1.0683118890e-07
6.1500000000e+02     6.8266341665e-09    1.1218159481e-10    6.7144525717e-09
6.2000000000e+02     1.0213354945e-07    1.2070854315e-08    9.0062695131e-08
6.2500000000e+02     6.7056712667e-09    1.2365152911e-10    6.5820197376e-09
6.3000000000e+02     2.3900782224e-09    2.1843812371e-10    2.1716400987e-09
6.3500000000e+02     4.5193771225e-06    5.3821854264e-09    4.5139949371e-06
6.4000000000e+02     2.7648335643e-07    3.4395251091e-09    2.7304383132e-07
6.4500000000e+02     1.3128244394e-08    1.3572700033e-09    1.1770974391e-08
6.5000000000e+02     2.9238973448e-06    8.5737908479e-07    2.0665182600e-06
6.5500000000e+02     7.5635381735e-09    7.1469909872e-10    6.8488390748e-09
6.6000000000e+02     7.8543195887e-09    4.0846573255e-10    7.4458538561e-09
6.6500000000e+02     1.8145781508e-08    1.4123058270e-08    4.0227232376e-09
6.7000000000e+02     1.1390153693e-08    1.8549612097e-09    9.5351924833e-09
6.7500000000e+02     5.7144020823e-08    2.6875222965e-10    5.6875268594e-08
6.8000000000e+02     2.5562133484e-08    6.1971146190e-10    2.4942422022e-08
6.8500000000e+02     1.2520564037e-08    4.1411497422e-09    8.3794142943e-09
6.9000000000e+02     1.1952397941e-09    2.2085618137e-10    9.7438361274e-10
6.9500000000e+02     1.0307026652e-07    8.5069533206e-09    9.4563313201e-08
7.0000000000e+02     9.9821071308e-10    3.3165046338e-10    6.6656024970e-10
7.0500000000e+02     1.9085985022e-08    2.5647904792e-09    1.6521194543e-08
7.1000000000e+02     6.8015395938e-09    1.4381923185e-10    6.6577203619e-09
7.1500000000e+02     8.6543098298e-07    2.5566044346e-07    6.0977053953e-07
7.2000000000e+02     4.1693475100e-08    7.1824922800e-10    4.0975225872e-08
7.2500000000e+02     7.2723855158e-10    1.9201096536e-10    5.3522758622e-10
7.3000000000e+02     6.2138127033e-09    8.1415943686e-10    5.3996532664e-09
7.3500000000e+02     1.0716545465e-08    7.1191383573e-10    1.0004631629e-08
7.4000000000e+02     2.5906988613e-09    2.6730317149e-10    2.3233956898e-09
7.4500000000e+02     1.6372515920e-08    1.0769794958e-08    5.6027209620e-09
7.5000000000e+02     3.3472357590e-09    2.3432596669e-09    1.0039760921e-09
7.5500000000e+02     3.9144470189e-08    8.1624141869e-09    3.0982056002e-08
7.6000000000e+02     9.0203874252e-10    1.0714097065e-10    7.9489777187e-10
7.6500000000e+02     1.7872980259e-07    1.6466528971e-07    1.4064512884e-08
7.7000000000e+02     1.7356173084e-08    1.3558953315e-08    3.7972197683e-09
7.7500000000e+02     4.1447207043e-09    3.2502095528e-09    8.9451115150e-10
7.8000000000e+02     2.2603038818e-08    1.6779981454e-08    5.8230573642e-09
7.8500000000e+02     1.0410113534e-07    1.1581551305e-10    1.0398531983e-07
7.9000000000e+02     2.6661556079e-09    1.7715660559e-09    8.9458955198e-10
7.9500000000e+02     8.5828137845e-09    1.2103848682e-09    7.3724289163e-09
8.0000000000e+02     1.7157800884e-08    1.3395688388e-10    1.7023844000e-08
8.0500000000e+02     1.3346921495e-08    3.4729893354e-09    9.8739321594e-09
8.1000000000e+02     4.4034012515e-09    1.7509352327e-09    2.6524660188e-09
8.1500000000e+02     4.2251602830e-10    7.5465605873e-11    3.4705042243e-10
8.2000000000e+02     1.3327789011e-06    1.1252811003e-06    2.0749780079e-07
8.2500000000e+02     8.9682328271e-06    5.0324739593e-06    3.9357588679e-06
8.3000000000e+02     8.1087178510e-08    4.6609377464e-09    7.6426240764e-08
8.3500000000e+02     2.3259116395e-08    6.2455004400e-11    2.3196661391e-08
8.4000000000e+02     1.2392874220e-08    4.6164377866e-11    1.2346709842e-08
8.4500000000e+02     1.1472460197e-03    1.7243271676e-10    1.1472458473e-03
8.5000000000e+02     7.6501310881e-06    1.2118304087e-10    7.6500099051e-06
8.5500000000e+02     4.7001349299e-08    6.9976669576e-10    4.6301582603e-08
8.6000000000e+02     1.8154737642e-08    1.4797967308e-10    1.8006757969e-08
8.6500000000e+02     2.2416879860e-08    7.9269700078e-09    1.4489909852e-08
8.7000000000e+02     5.3214734078e-08    2.8066554724e-10    5.2934068530e-08
8.7500000000e+02     6.7730730014e-09    4.3699106499e-10    6.3360819365e-09
8.8000000000e+02     5.6554248583e-09    1.1305149567e-10    5.5423733627e-09
8.8500000000e+02     2.3784462136e-08    2.9362746575e-10    2.3490834670e-08
8.9000000000e+02     1.1875451115e-08    1.3902845509e-09    1.0485166564e-08
8.9500000000e+02     1.6090011910e-08    7.7633603251e-10    1.5313675877e-08
9.0000000000e+02     8.0980190455e-08    2.5901210082e-10    8.0721178354e-08
9.0500000000e+02     3.6327315762e-08    2.0628842002e-08    1.5698473760e-08
9.1000000000e+02     9.8566276994e-09    2.2940004793e-10    9.6272276515e-09
9.1500000000e+02     2.2903007345e-08    2.1985491876e-09    2.0704458157e-08
9.2000000000e+02     2.2442481236e-08    4.9574374532e-10    2.1946737491e-08
9.2500000000e+02     5.3849811846e-08    3.5207759436e-10    5.3497734252e-08
9.3000000000e+02     6.1755157402e-05    1.9288550196e-05    4.2466607206e-05
9.3500000000e+02     3.7579647803e-09    6.1054275338e-10    3.1474220269e-09
9.4000000000e+02     1.6665078904e-08    1.4115278374e-10    1.6523926120e-08
9.4500000000e+02     8.4460308424e-09    7.4470937551e-10    7.7013214669e-09
9.5000000000e+02     3.9107825016e-08    8.5168028716e-09    3.0591022145e-08
9.5500000000e+02     2.5501066691e-09    7.5619815782e-10    1.7939085113e-09
9.6000000000e+02     3.0286963398e-09    1.0123184155e-09    2.0163779243e-09
9.6500000000e+02     1.5406594711e-07    1.2504030924e-07    2.9025637865e-08
9.7000000000e+02     5.1526604067e-07    1.7865294019e-08    4.9740074666e-07
9.7500000000e+02     4.8328075876e-07    5.9663599090e-09    4.7731439885e-07
9.8000000000e+02     7.2505943924e-08    3.6315529593e-10    7.2142788628e-08
9.8500000000e+02     2.4707249373e-08    9.6661818084e-11    2.4610587555e-08
9.9000000000e+02     8.1725154707e-08    4.3053059625e-08    3.8672095083e-08
9.9500000000e+02     9.6247464965e-09    2.4293618356e-09    7.1953846609e-09
1.0000000000e+03     5.4373318872e-09    1.9241511768e-10    5.2449167696e-09
1.0050000000e+03     8.5283863227e-09    1.1591652566e-09    7.3692210661e-09
1.0100000000e+03     3.4293507327e-09    1.7566525949e-09    1.6726981378e-09
1.0150000000e+03     2.0065473823e-09    6.3451405457e-11    1.9430959769e-09
1.0200000000e+03     2.2199525896e-09    4.2927159204e-10    1.7906809976e-09
1.0250000000e+03     7.7313561570e-09    3.0086590362e-09    4.7226971208e-09
1.0300000000e+03     5.5595317958e-09    1.3394403298e-09    4.2200914660e-09
1.0350000000e+03     3.3881881023e-09    9.6926381731e-11    3.2912617206e-09
1.0400000000e+03     6.6974948339e-10    1.5978512947e-10    5.0996435392e-10
1.0450000000e+03     7.8295293824e-10    1.0893330451e-10    6.7401963374e-10
1.0500000000e+03     7.8704278629e-09    1.5415719304e-10    7.7162706699e-09
1.0550000000e+03     3.8850256794e-09    1.3611080477e-09    2.5239176317e-09
1.0600000000e+03     1.6350931584e-09    5.7571849723e-10    1.0593746612e-09
1.0650000000e+03     3.6858264670e-09    1.9362402422e-09    1.7495862248e-09
1.0700000000e+03     4.5076830555e-07    1.4772605501e-07    3.0304225054e-07
1.0750000000e+03     3.1889948102e-08    1.9158149099e-08    1.2731799003e-08
1.0800000000e+03     1.1160126771e-09    1.6462414935e-10    9.5138852774e-10
1.0850000000e+03     1.0450224846e-08    7.9538336145e-10    9.6548414850e-09
1.0900000000e+03     6.0081674388e-08    5.4598065544e-11    6.0027076322e-08
1.0950000000e+03     3.2354657272e-09    9.7989035420e-11    3.1374766918e-09
1.1000000000e+03     2.8335862962e-09    5.3242061099e-10    2.3011656852e-09
1.1050000000e+03     1.8752481254e-07    6.5416769497e-11    1.8745939577e-07
1.1100000000e+03     1.2019873442e-08    3.5204892874e-10    1.1667824513e-08
1.1150000000e+03     7.1506076492e-10    2.1306692265e-10    5.0199384227e-10
1.1200000000e+03     1.8592566097e-07    1.6322525600e-07    2.2700404969e-08
1.1250000000e+03     6.1617401573e-10    7.4569587696e-11    5.4160442803e-10
1.1300000000e+03     7.0129328311e-10    8.2725598723e-11    6.1856768439e-10
1.1350000000e+03     9.8931249610e-10    7.7683399837e-11    9.1162909626e-10
1.1400000000e+03     7.5699020918e-08    5.7758928183e-11    7.5641261990e-08
1.1450000000e+03     7.0766628625e-09    8.0557690172e-11    6.9961051723e-09
1.1500000000e+03     1.3358474281e-08    1.2712263878e-10    1.3231351642e-08
1.1550000000e+03     3.7575678907e-09    2.9786133659e-10    3.4597065541e-09
1.1600000000e+03     9.8045775370e-10    1.5909825572e-10    8.2135949797e-10
1.1650000000e+03     2.4629160371e-08    9.4982983552e-09    1.5130862016e-08
1.1700000000e+03     8.1610439189e-10    1.1439611705e-10    7.0170827485e-10
1.1750000000e+03     9.5281622386e-09    4.6053833728e-11    9.4821084049e-09
1.1800000000e+03     1.1911458081e-08    4.2203674370e-11    1.1869254407e-08
1.1850000000e+03     8.0867637609e-10    9.3721789429e-11    7.1495458666e-10
1.1900000000e+03     9.2861354220e-10    1.1668830738e-10    8.1192523481e-10
1.1950000000e+03     3.2484243746e-09    2.0734327979e-10    3.0410810948e-09
1.2000000000e+03     1.9811740399e-09    2.1397806868e-10    1.7671959712e-09
1.2050000000e+03     8.6085949433e-08    1.9968076156e-09    8.4089141818e-08
1.2100000000e+03     5.0932527349e-09    1.0897005426e-10    4.9842826806e-09
1.2150000000e+03     1.3172110317e-09    5.7986666976e-10    7.3734436196e-10
1.2200000000e+03     1.0312738926e-09    1.6315522527e-10    8.6811866733e-10
1.2250000000e+03     2.1869481814e-09    5.7318511514e-10    1.6137630663e-09
1.2300000000e+03     3.6407142946e-08    1.8369632997e-10    3.6223446616e-08
1.2350000000e+03     7.0085598225e-09    4.6047948859e-09    2.4037649367e-09
1.2400000000e+03     1.6558834596e-09    8.6254320435e-10    7.9334025520e-10
1.2450000000e+03     1.4826638495e-09    3.5295419123e-10    1.1297096583e-09
1.2500000000e+03     6.6918106796e-09    1.6500884450e-10    6.5268018351e-09
1.2550000000e+03     1.5408431329e-08    3.7654984802e-10    1.5031881481e-08
1.2600000000e+03     4.7327730751e-07    2.9814263424e-09    4.7029588116e-07
1.2650000000e+03     4.7235931059e-09    2.1240659858e-09    2.5995271200e-09
1.2700000000e+03     2.1199191142e-09    2.3491867340e-10    1.8850004408e-09
