#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
3.9500000000e+02     1.9625207043e-09    7.3867544731e-10    1.2238452569e-09
4.0000000000e+02     6.0622061637e-10    1.4096991037e-11    5.9212362533e-10
4.0500000000e+02     2.5914408426e-09    1.3617927374e-10    2.4552615688e-09
4.1000000000e+02     4.5230021698e-10    3.4222793232e-11    4.1807742375e-10
4.1500000000e+02     1.3801119032e-09    2.5488743353e-10    1.1252244696e-09
4.2000000000e+02     7.5636281393e-08    7.2990955653e-10    7.4906371836e-08
4.2500000000e+02     4.6575875919e-10    5.2604561000e-11    4.1315419819e-10
4.3000000000e+02     2.7790580630e-09    1.2234395872e-09    1.5556184759e-09
4.3500000000e+02     7.6614558633e-10    8.1824295138e-11    6.8432129119e-10
4.4000000000e+02     1.1204473565e-09    2.8784300728e-10    8.3260434923e-10
4.4500000000e+02     2.7029761706e-09    3.0071337450e-10    2.4022627961e-09
4.5000000000e+02     7.0821982078e-10    6.0345832624e-11    6.4787398816e-10
4.5500000000e+02     1.6057974062e-09    6.4130748480e-11    1.5416666577e-09
4.6000000000e+02     9.9635819157e-09    4.0164231806e-09    5.9471587351e-09
4.6500000000e+02     5.2778814454e-08    7.9590393147e-09    4.4819775139e-08
4.7000000000e+02     1.7839237355e-10    1.6355552139e-11    1.6203682141e-10
4.7500000000e+02     5.8835135262e-10    8.6832578988e-11    5.0151877364e-10
4.8000000000e+02     1.4221970449e-09    7.8194557879e-11    1.3440024870e-09
4.8500000000e+02     2.3744513347e-09    2.3401866839e-10    2.1404326663e-09
4.9000000000e+02     3.5784547194e-10    7.9111675534e-11    2.7873379641e-10
4.9500000000e+02     2.7087384151e-09    2.1134119633e-10    2.4973972188e-09
5.0000000000e+02     1.7775540492e-10    2.5407309839e-11    1.5234809508e-10
5.0500000000e+02     7.0450351857e-10    9.9907497847e-11    6.0459602072e-10
5.1000000000e+02     2.3447141549e-09    3.1394848103e-10    2.0307656739e-09
5.1500000000e+02     1.4898686640e-09    1.0314725188e-10    1.3867214121e-09
5.2000000000e+02     4.3947985992e-09    2.3516597112e-10    4.1596326281e-09
5.2500000000e+02     2.6597232422e-10    2.4357563720e-11    2.4161476050e-10
5.3000000000e+02     3.3294504047e-08    1.8418669256e-08    1.4875834791e-08
5.3500000000e+02     9.0687485725e-10    3.8082843392e-11    8.6879201385e-10
5.4000000000e+02     1.3202639354e-07    5.2497072412e-08    7.9529321128e-08
5.4500000000e+02     9.9501512571e-09    9.4983941980e-10    9.0003118373e-09
5.5000000000e+02     3.2871238152e-09    8.7727253899e-10    2.4098512762e-09
5.5500000000e+02     3.0683284521e-10    3.9620190502e-11    2.6721265471e-10
5.6000000000e+02     7.0329731177e-09    2.5149168514e-09    4.5180562663e-09
5.6500000000e+02     1.0624510440e-09    4.7228452809e-11    1.0152225912e-09
5.7000000000e+02     5.4210106570e-10    4.4838248087e-11    4.9726281761e-10
5.7500000000e+02     1.5507631307e-09    3.1745846792e-11    1.5190172839e-09
5.8000000000e+02     4.0111831666e-10    1.5582490281e-10    2.4529341385e-10
5.8500000000e+02     1.0792048698e-09    2.1106684482e-10    8.6813802495e-10
5.9000000000e+02     6.0524283137e-08    3.2789800796e-08    2.7734482342e-08
5.9500000000e+02     2.4427097099e-09    3.4089836653e-11    2.4086198732e-09
6.0000000000e+02     5.5854108793e-09    1.9756284937e-11    5.5656545944e-09
6.0500000000e+02     6.1246835879e-09    1.5720153610e-09    4.5526682269e-09
6.1000000000e+02     1.6520100686e-08    1.7213520902e-10    1.6347965477e-08
6.1500000000e+02     2.8954706942e-10    2.3417196881e-11    2.6612987254e-10
6.2000000000e+02     2.0587835293e-08    2.8578521412e-09    1.7729983152e-08
6.2500000000e+02     7.3527674538e-10    4.9895997900e-11    6.8538074748e-10
6.3000000000e+02     7.2484968114e-10    5.5306418294e-11    6.6954326284e-10
6.3500000000e+02     1.2084075833e-06    1.5427427236e-07    1.0541333109e-06
6.4000000000e+02     1.6232796274e-07    6.5099703845e-08    9.7228258891e-08
6.4500000000e+02     4.6976543243e-10    8.2544331755e-11    3.8722110068e-10
6.5000000000e+02     2.7882600615e-07    1.0946889195e-07    1.6935711420e-07
6.5500000000e+02     8.3967839350e-10    4.9948873744e-11    7.8972951976e-10
6.6000000000e+02     1.6810615105e-08    5.9891420843e-11    1.6750723684e-08
