#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
9.8750000000e+02     5.1684617385e-07    5.1521407129e-08    4.6532476672e-07
1.0000000000e+03     4.8190362668e-07    5.1513718005e-08    4.3038990868e-07
1.0125000000e+03     4.5819984844e-07    5.2356773403e-08    4.0584307504e-07
1.0250000000e+03     4.4153925675e-07    5.2929181281e-08    3.8861007547e-07
1.0375000000e+03     4.2927600491e-07    5.2783837716e-08    3.7649216720e-07
1.0500000000e+03     4.2128713230e-07    5.2842658748e-08    3.6844447356e-07
1.0625000000e+03     4.1525685279e-07    5.2661047000e-08    3.6259580579e-07
1.0750000000e+03     4.1284184186e-07    5.3812469683e-08    3.5902937217e-07
1.0875000000e+03     4.1029382202e-07    5.3605286067e-08    3.5668853595e-07
1.1000000000e+03     4.0884403328e-07    5.4062252391e-08    3.5478178089e-07
1.1125000000e+03     4.0697104059e-07    5.4254667804e-08    3.5271637278e-07
1.1250000000e+03     4.0403929043e-07    5.4114194945e-08    3.4992509549e-07
1.1375000000e+03     4.0065613446e-07    5.4020029167e-08    3.4663610530e-07
1.1500000000e+03     3.9782233682e-07    5.4522835909e-08    3.4329950091e-07
1.1625000000e+03     3.9442223754e-07    5.4883476600e-08    3.3953876094e-07
1.1750000000e+03     3.9102920761e-07    5.5675794004e-08    3.3535341360e-07
1.1875000000e+03     3.8673475520e-07    5.6071309288e-08    3.3066344591e-07
1.2000000000e+03     3.8223272854e-07    5.6309686884e-08    3.2592304165e-07
1.2125000000e+03     3.7811970362e-07    5.6626660063e-08    3.2149304355e-07
1.2250000000e+03     3.7448840340e-07    5.6963052986e-08    3.1752535041e-07
1.2375000000e+03     3.7159314131e-07    5.7458576570e-08    3.1413456474e-07
1.2500000000e+03     3.6941125959e-07    5.7944988851e-08    3.1146627074e-07
1.2625000000e+03     3.6774456830e-07    5.8478667394e-08    3.0926590091e-07
1.2750000000e+03     3.6762584454e-07    6.0066931039e-08    3.0755891350e-07
1.2875000000e+03     3.6697840018e-07    6.0918518356e-08    3.0605988183e-07
1.3000000000e+03     3.6674803964e-07    6.1926262175e-08    3.0482177746e-07
1.3125000000e+03     3.6697656602e-07    6.2953941996e-08    3.0402262402e-07
1.3250000000e+03     3.6766977919e-07    6.4352251139e-08    3.0331752805e-07
1.3375000000e+03     3.6814605906e-07    6.5501261697e-08    3.0264479736e-07
1.3500000000e+03     3.6912432057e-07    6.6825066362e-08    3.0229925421e-07
1.3625000000e+03     3.7035600596e-07    6.8041398865e-08    3.0231460709e-07
1.3750000000e+03     3.7207653603e-07    6.9265245628e-08    3.0281129040e-07
1.3875000000e+03     3.7431779788e-07    7.0478379016e-08    3.0383941886e-07
1.4000000000e+03     3.7705035372e-07    7.1662070653e-08    3.0538828306e-07
1.4125000000e+03     3.8017258341e-07    7.2797532654e-08    3.0737505076e-07
1.4250000000e+03     3.8426087900e-07    7.4493565437e-08    3.0976731356e-07
1.4375000000e+03     3.8759391338e-07    7.5470979796e-08    3.1212293359e-07
1.4500000000e+03     3.9099954473e-07    7.6612672912e-08    3.1438687182e-07
1.4625000000e+03     3.9362465835e-07    7.7371064530e-08    3.1625359382e-07
1.4750000000e+03     3.9568769255e-07    7.8054720064e-08    3.1763297248e-07
1.4875000000e+03     3.9696609187e-07    7.8540194297e-08    3.1842589757e-07
1.5000000000e+03     3.9755272961e-07    7.8874213331e-08    3.1867851628e-07
1.5125000000e+03     3.9757181308e-07    7.9049349339e-08    3.1852246375e-07
1.5250000000e+03     3.9762324527e-07    7.9369765386e-08    3.1825347989e-07
1.5375000000e+03     3.9801933169e-07    7.9916392651e-08    3.1810293904e-07
1.5500000000e+03     3.9772885040e-07    7.9589413989e-08    3.1813943641e-07
1.5625000000e+03     3.9781617461e-07    7.9100846132e-08    3.1871532847e-07
1.5750000000e+03     3.9841443942e-07    7.8456720999e-08    3.1995771842e-07
1.5875000000e+03     3.9958515149e-07    7.7697193861e-08    3.2188795763e-07
1.6000000000e+03     4.0194529794e-07    7.7433817228e-08    3.2451148071e-07
1.6125000000e+03     4.0373161608e-07    7.6383598678e-08    3.2734801740e-07
1.6250000000e+03     4.0585929583e-07    7.5554986317e-08    3.3030430952e-07
1.6375000000e+03     4.0726585834e-07    7.4334900991e-08    3.3293095734e-07
1.6500000000e+03     4.0800392318e-07    7.3018570579e-08    3.3498535260e-07
1.6625000000e+03     4.0801846022e-07    7.1731172387e-08    3.3628728783e-07
1.6750000000e+03     4.0703652656e-07    7.0335751716e-08    3.3670077485e-07
1.6875000000e+03     4.0524292606e-07    6.8937702788e-08    3.3630522327e-07
1.7000000000e+03     4.0284309679e-07    6.7551968094e-08    3.3529112870e-07
1.7125000000e+03     4.0017701611e-07    6.6206456550e-08    3.3397055956e-07
1.7250000000e+03     3.9764357320e-07    6.4922705941e-08    3.3272086726e-07
1.7375000000e+03     3.9564955459e-07    6.3721226563e-08    3.3192832803e-07
1.7500000000e+03     3.9454713865e-07    6.2621156725e-08    3.3192598192e-07
