#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001058      0.000217     0.000097     0.034186     0.000659     25316.616398
0.001726      0.000457     0.000183     0.020421     0.001245     21258.654148
0.001732      0.000662     0.000254     0.012486     0.001733     5926.702138
0.001757      0.000706     0.000290     0.014313     0.001966     -1626.068540
0.001752      0.000870     0.000338     0.009933     0.002301     -6786.548101
0.001698      0.001164     0.000421     0.005756     0.002903     -10661.783790
0.001674      0.001114     0.000479     0.009619     0.003244     -14181.517466
0.001646      0.001234     0.000552     0.009277     0.003741     -17984.448829
0.001604      0.001475     0.000650     0.007348     0.004404     -28149.134445
0.001595      0.001454     0.000699     0.008734     0.004772     -17333.040238
0.001607      0.001376     0.000715     0.010506     0.004963     -16152.073751
0.001566      0.001726     0.000832     0.007249     0.005677     -15070.778783
0.001551      0.001816     0.000895     0.007086     0.006134     -14506.778291
0.001553      0.001775     0.000923     0.007862     0.006403     -14143.652391
0.001554      0.001779     0.000953     0.008189     0.006673     -13913.883267
0.001515      0.002174     0.001087     0.005909     0.007464     -13771.543314
0.001495      0.002350     0.001171     0.005364     0.008037     -13693.352834
0.001479      0.002472     0.001245     0.005135     0.008567     -13666.326220
0.001469      0.002534     0.001305     0.005139     0.009025     -13683.882088
0.001463      0.002546     0.001349     0.005305     0.009409     -13744.114009
0.001463      0.002516     0.001377     0.005597     0.009716     -13850.521588
0.001475      0.002364     0.001359     0.006375     0.009808     -14011.519667
0.001477      0.002371     0.001384     0.006472     0.010074     -14265.008266
0.001443      0.002774     0.001539     0.005095     0.010916     -14587.447728
0.001426      0.002989     0.001635     0.004592     0.011536     -15780.401521
0.001411      0.003167     0.001722     0.004256     0.012122     -16493.275265
0.001400      0.003302     0.001798     0.004056     0.012660     -14579.152354
0.001391      0.003404     0.001864     0.003939     0.013160     -14258.045221
0.001383      0.003477     0.001923     0.003883     0.013625     -13980.408525
0.001378      0.003522     0.001972     0.003876     0.014052     -13799.102488
0.001374      0.003541     0.002013     0.003914     0.014439     -13708.296817
0.001373      0.003525     0.002040     0.004009     0.014772     -13668.795455
0.001374      0.003485     0.002057     0.004144     0.015059     -13647.967233
0.001386      0.003301     0.002017     0.004573     0.015111     -13691.692701
0.001374      0.003467     0.002103     0.004286     0.015671     -13775.934968
0.001356      0.003749     0.002231     0.003834     0.016416     -13881.953641
0.001344      0.003934     0.002324     0.003596     0.017030     -14066.606787
0.001334      0.004087     0.002407     0.003425     0.017605     -14323.347463
0.001327      0.004208     0.002480     0.003308     0.018140     -14702.544348
0.001320      0.004304     0.002544     0.003229     0.018643     -15204.558824
0.001315      0.004372     0.002599     0.003210     0.019107     -17764.216958
0.001312      0.004410     0.002642     0.003246     0.019525     -15518.133309
0.001310      0.004425     0.002677     0.003307     0.019903     -14820.630168
0.001314      0.004322     0.002665     0.003506     0.020090     -14484.118795
0.001303      0.004513     0.002767     0.003358     0.020768     -14268.733321
0.001288      0.004797     0.002904     0.003130     0.021607     -14149.141352
0.001278      0.005008     0.003013     0.002995     0.022324     -14094.640053
0.001268      0.005198     0.003114     0.002890     0.023009     -14088.258390
0.001260      0.005365     0.003206     0.002811     0.023658     -14152.063948
0.001253      0.005516     0.003293     0.002749     0.024280     -14246.908002
0.001246      0.005652     0.003374     0.002701     0.024879     -14406.238346
0.001240      0.005776     0.003451     0.002664     0.025459     -14629.206505
0.001235      0.005886     0.003523     0.002638     0.026014     -14987.878521
0.001230      0.005983     0.003589     0.002622     0.026548     -15423.567152
0.001226      0.006065     0.003650     0.002614     0.027056     -16898.545047
0.001223      0.006131     0.003705     0.002618     0.027534     -17893.774378
0.001220      0.006176     0.003752     0.002633     0.027977     -15758.458504
0.001219      0.006192     0.003786     0.002666     0.028364     -15497.373626
0.001219      0.006155     0.003799     0.002732     0.028655     -15289.994792
0.001207      0.006515     0.003967     0.002550     0.029634     -15241.708784
0.001197      0.006777     0.004096     0.002440     0.030444     -15319.501059
0.001189      0.007021     0.004218     0.002348     0.031226     -15489.681895
0.001182      0.007248     0.004333     0.002271     0.031979     -15823.950795
0.001175      0.007463     0.004444     0.002205     0.032712     -16282.903039
0.001168      0.007666     0.004550     0.002148     0.033426     -18062.516734
0.001162      0.007861     0.004653     0.002097     0.034129     -19159.288176
0.001157      0.008049     0.004754     0.002051     0.034821     -16473.630541
0.001151      0.008228     0.004852     0.002012     0.035499     -16095.276154
0.001146      0.008403     0.004947     0.001975     0.036170     -15759.197997
0.001141      0.008569     0.005040     0.001943     0.036829     -15632.589107
0.001137      0.008727     0.005130     0.001916     0.037474     -15614.540557
0.001133      0.008875     0.005217     0.001893     0.038105     -15703.512587
0.001129      0.009018     0.005302     0.001872     0.038727     -15904.103666
0.001126      0.009102     0.005365     0.001870     0.039253     -16233.551115
0.001119      0.009386     0.005501     0.001806     0.040112     -16797.945082
0.001111      0.009746     0.005663     0.001724     0.041092     -17436.824521
0.001104      0.010073     0.005812     0.001657     0.042020     -20978.290976
0.001097      0.010397     0.005960     0.001596     0.042940     -19946.139425
0.001091      0.010717     0.006106     0.001540     0.043853     -17789.081558
0.001085      0.011037     0.006251     0.001487     0.044765     -17455.754398
0.001079      0.011358     0.006395     0.001437     0.045680     -17331.849424
0.001073      0.011683     0.006541     0.001389     0.046598     -17487.880996
0.001067      0.012011     0.006687     0.001344     0.047523     -17971.064809
0.001062      0.012346     0.006835     0.001300     0.048455     -18586.911258
0.001056      0.012686     0.006984     0.001258     0.049396     -22385.192014
0.001051      0.013034     0.007135     0.001217     0.050348     -21039.317808
0.001045      0.013390     0.007287     0.001177     0.051311     -19786.201580
0.001040      0.013755     0.007442     0.001138     0.052287     -20010.234087
0.001035      0.014126     0.007598     0.001100     0.053271     -24054.170142
0.001029      0.014523     0.007761     0.001061     0.054291     -21703.383260
0.001025      0.014827     0.007897     0.001036     0.055176     -21024.741404
0.001015      0.015818     0.008223     0.000931     0.057037     -24045.783223
0.001006      0.016778     0.008530     0.000842     0.058822     -25331.555328
0.000997      0.017764     0.008832     0.000761     0.060608     -24409.450798
0.000989      0.018778     0.009130     0.000688     0.062399     -28559.627103
0.000982      0.019831     0.009426     0.000620     0.064208     -29096.449591
0.000975      0.020932     0.009720     0.000557     0.066042     -27371.808285
0.000968      0.022104     0.010015     0.000497     0.067925     -27882.000312
