#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000971      0.004431     0.002959     0.002963     0.023987     -2858.907902
0.000971      0.055737     0.015407     0.000000     0.110448     7573.671905
0.000967      0.052747     0.015753     0.000000     0.113907     7199.710897
0.000962      0.050515     0.016183     0.000000     0.114616     6495.500007
0.000957      0.048124     0.016548     0.000000     0.115171     5826.853638
0.000954      0.045660     0.016853     0.000000     0.115705     5443.239510
0.000951      0.043153     0.017086     0.000000     0.116236     4754.138831
0.000949      0.040647     0.017242     0.000000     0.116805     4397.435570
0.000948      0.038186     0.017320     0.000000     0.117472     4197.551367
0.000948      0.035815     0.017325     0.000000     0.118311     3979.989156
0.000949      0.033571     0.017266     0.000000     0.119410     3711.291222
0.000950      0.031482     0.017156     0.000000     0.120864     3437.057496
0.000952      0.029568     0.017009     0.000000     0.122771     2943.743072
0.000955      0.027835     0.016839     0.000000     0.125227     2715.783347
0.000958      0.026284     0.016657     0.000000     0.128326     2636.967541
0.000961      0.024904     0.016473     0.000000     0.132158     2655.766570
0.000964      0.023684     0.016295     0.000000     0.136814     2547.217657
0.000967      0.022608     0.016125     0.000000     0.142388     2425.175165
0.000970      0.021661     0.015968     0.000000     0.148984     2278.039035
0.000972      0.020827     0.015823     0.000000     0.156717     2130.065996
0.000975      0.020093     0.015691     0.000000     0.165722     1709.287132
0.000977      0.019446     0.015572     0.000000     0.176160     1795.137099
0.000979      0.018875     0.015465     0.000000     0.185579     1700.086578
0.000981      0.018371     0.015369     0.000000     0.184428     1787.356805
0.000983      0.017927     0.015283     0.000000     0.183399     1747.140505
0.000984      0.017534     0.015207     0.000000     0.182479     1699.396880
0.000988      0.017062     0.015037     0.000000     0.180448     1637.052251
0.000000      0.000000     0.000000     0.000000     0.000000     1558.210634
0.000000      0.000000     0.000000     0.000000     0.000000     1477.352280
0.000000      0.000000     0.000000     0.000000     0.000000     1200.066072
0.000000      0.000000     0.000000     0.000000     0.000000     1316.334733
0.000000      0.000000     0.000000     0.000000     0.000000     1219.324148
0.000000      0.000000     0.000000     0.000000     0.000000     1323.518629
0.000000      0.000000     0.000000     0.000000     0.000000     1313.429226
0.000000      0.000000     0.000000     0.000000     0.000000     1299.274836
0.000000      0.000000     0.000000     0.000000     0.000000     1273.943594
0.000000      0.000000     0.000000     0.000000     0.000000     1239.284245
0.000000      0.000000     0.000000     0.000000     0.000000     1198.913481
0.000000      0.000000     0.000000     0.000000     0.000000     1118.251351
0.000000      0.000000     0.000000     0.000000     0.000000     1027.590042
0.000000      0.000000     0.000000     0.000000     0.000000     1073.890511
0.000000      0.000000     0.000000     0.000000     0.000000     997.844560
0.000000      0.000000     0.000000     0.000000     0.000000     1096.964790
0.000000      0.000000     0.000000     0.000000     0.000000     1101.115293
0.000000      0.000000     0.000000     0.000000     0.000000     1106.052100
0.000000      0.000000     0.000000     0.000000     0.000000     1101.052509
0.000000      0.000000     0.000000     0.000000     0.000000     1091.836809
0.000000      0.000000     0.000000     0.000000     0.000000     1081.172621
0.000000      0.000000     0.000000     0.000000     0.000000     1062.927743
0.000000      0.000000     0.000000     0.000000     0.000000     1045.200000
0.000000      0.000000     0.000000     0.000000     0.000000     988.758404
0.000000      0.000000     0.000000     0.000000     0.000000     994.529368
0.000000      0.000000     0.000000     0.000000     0.000000     931.033984
0.000000      0.000000     0.000000     0.000000     0.000000     965.732148
0.000000      0.000000     0.000000     0.000000     0.000000     1008.954186
0.000000      0.000000     0.000000     0.000000     0.000000     1019.079213
0.000000      0.000000     0.000000     0.000000     0.000000     1026.274127
0.000000      0.000000     0.000000     0.000000     0.000000     1029.946245
0.000000      0.000000     0.000000     0.000000     0.000000     1031.058989
0.000000      0.000000     0.000000     0.000000     0.000000     1033.066589
0.000000      0.000000     0.000000     0.000000     0.000000     1032.064524
0.000000      0.000000     0.000000     0.000000     0.000000     1034.823546
0.000000      0.000000     0.000000     0.000000     0.000000     1040.509330
0.000000      0.000000     0.000000     0.000000     0.000000     1006.835579
0.000000      0.000000     0.000000     0.000000     0.000000     911.018713
0.000000      0.000000     0.000000     0.000000     0.000000     1003.338263
0.000000      0.000000     0.000000     0.000000     0.000000     1015.459231
0.000000      0.000000     0.000000     0.000000     0.000000     1029.774613
0.000000      0.000000     0.000000     0.000000     0.000000     1040.634962
0.000000      0.000000     0.000000     0.000000     0.000000     1051.099199
0.000000      0.000000     0.000000     0.000000     0.000000     1062.157388
0.000000      0.000000     0.000000     0.000000     0.000000     1074.697773
0.000000      0.000000     0.000000     0.000000     0.000000     1093.586175
0.000000      0.000000     0.000000     0.000000     0.000000     1107.308564
0.000000      0.000000     0.000000     0.000000     0.000000     1236.413122
0.000000      0.000000     0.000000     0.000000     0.000000     1104.411767
0.000000      0.000000     0.000000     0.000000     0.000000     1073.143704
0.000000      0.000000     0.000000     0.000000     0.000000     1001.688295
0.000000      0.000000     0.000000     0.000000     0.000000     1012.427051
0.000000      0.000000     0.000000     0.000000     0.000000     1049.898363
0.000000      0.000000     0.000000     0.000000     0.000000     1060.417612
0.000000      0.000000     0.000000     0.000000     0.000000     1071.286412
0.000000      0.000000     0.000000     0.000000     0.000000     1082.201897
0.000000      0.000000     0.000000     0.000000     0.000000     1092.215900
0.000000      0.000000     0.000000     0.000000     0.000000     1105.331872
0.000000      0.000000     0.000000     0.000000     0.000000     1119.843609
0.000000      0.000000     0.000000     0.000000     0.000000     1136.922355
0.000000      0.000000     0.000000     0.000000     0.000000     1157.934120
0.000000      0.000000     0.000000     0.000000     0.000000     1182.060097
0.000000      0.000000     0.000000     0.000000     0.000000     1214.210629
