# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
24	0.517857	0.001784419664
24	0.553571	0.001667082009
24	0.589286	0.001491935019
24	0.625	0.001281431206
24	0.660714	0.001237279679
24	0.696429	0.001092939393
24	0.732143	0.001072095041
24	0.767857	0.001100610009
24	0.803571	0
24	0.839286	0
24	0.875	0
24	0.910714	0
24	0.946429	0

26	0.267857	0.0006111848792
26	0.303571	0.0009624684076
26	0.339286	0.001269668257
26	0.375	0.001540967477
26	0.410714	0.001734963401
26	0.446429	0.001863695015
26	0.482143	0.001912229279
26	0.517857	0.001784419664
26	0.553571	0.001667082009
26	0.589286	0.001491935019
26	0.625	0.001281431206
26	0.660714	0.001237279679
26	0.696429	0.001092939393
26	0.732143	0.001072095041
26	0.767857	0.001100610009
26	0.803571	0
26	0.839286	0
26	0.875	0
26	0.910714	0
26	0.946429	0

28	0.267857	0.0006111848792
28	0.303571	0.0009624684076
28	0.339286	0.001269668257
28	0.375	0.001540967477
28	0.410714	0.001734963401
28	0.446429	0.001863695015
28	0.482143	0.001912229279
28	0.517857	0.001784419664
28	0.553571	0.001667082009
28	0.589286	0.001491935019
28	0.625	0.001281431206
28	0.660714	0.001237279679
28	0.696429	0.001092939393
28	0.732143	0.001072095041
28	0.767857	0.001100610009
28	0.803571	0
28	0.839286	0
28	0.875	0
28	0.910714	0
28	0.946429	0

30	0.267857	0.0006111848792
30	0.303571	0.0009624684076
30	0.339286	0.001269668257
30	0.375	0.001540967477
30	0.410714	0.001734963401
30	0.446429	0.001863695015
30	0.482143	0.001912229279
30	0.517857	0.001784419664
30	0.553571	0.001667082009
30	0.589286	0.001491935019
30	0.625	0.001281431206
30	0.660714	0.001237279679
30	0.696429	0.001092939393
30	0.732143	0.001072095041
30	0.767857	0.001100610009
30	0.803571	0
30	0.839286	0
30	0.875	0
30	0.910714	0
30	0.946429	0

32	0.267857	0.0006111848792
32	0.303571	0.0009624684076
32	0.339286	0.001269668257
32	0.375	0.001540967477
32	0.410714	0.001734963401
32	0.446429	0.001863695015
32	0.482143	0.001912229279
32	0.517857	0.001784419664
32	0.553571	0.001667082009
32	0.589286	0.001491935019
32	0.625	0.001281431206
32	0.660714	0.001237279679
32	0.696429	0.001092939393
32	0.732143	0.001072095041
32	0.767857	0.001100610009
32	0.803571	0
32	0.839286	0
32	0.875	0
32	0.910714	0
32	0.946429	0

34	0.267857	0.0006111848792
34	0.303571	0.0009624684076
34	0.339286	0.001269668257
34	0.375	0.001540967477
34	0.410714	0.001734963401
34	0.446429	0.001863695015
34	0.482143	0.001912229279
34	0.517857	0.001784419664
34	0.553571	0.001667082009
34	0.589286	0.001491935019
34	0.625	0.001281431206
34	0.660714	0.001237279679
