# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
24	0.589286	0.03460913506
24	0.625	0.02739108404
24	0.660714	0.0237221705
24	0.696429	0.01518483374
24	0.732143	0.009802639654
24	0.767857	0.004150563344
24	0.803571	0
24	0.839286	0
24	0.875	0
24	0.910714	0
24	0.946429	0

26	0.267857	0.01247539902
26	0.303571	0.02152188844
26	0.339286	0.02889897965
26	0.375	0.03521791114
26	0.410714	0.03986566953
26	0.446429	0.04311019811
26	0.482143	0.04458059803
26	0.517857	0.04224876685
26	0.553571	0.03944150076
26	0.589286	0.03460913506
26	0.625	0.02739108404
26	0.660714	0.0237221705
26	0.696429	0.01518483374
26	0.732143	0.009802639654
26	0.767857	0.004150563344
26	0.803571	0
26	0.839286	0
26	0.875	0
26	0.910714	0
26	0.946429	0

28	0.267857	0.01247539902
28	0.303571	0.02152188844
28	0.339286	0.02889897965
28	0.375	0.03521791114
28	0.410714	0.03986566953
28	0.446429	0.04311019811
28	0.482143	0.04458059803
28	0.517857	0.04224876685
28	0.553571	0.03944150076
28	0.589286	0.03460913506
28	0.625	0.02739108404
28	0.660714	0.0237221705
28	0.696429	0.01518483374
28	0.732143	0.009802639654
28	0.767857	0.004150563344
28	0.803571	0
28	0.839286	0
28	0.875	0
28	0.910714	0
28	0.946429	0

30	0.267857	0.01247539902
30	0.303571	0.02152188844
30	0.339286	0.02889897965
30	0.375	0.03521791114
30	0.410714	0.03986566953
30	0.446429	0.04311019811
30	0.482143	0.04458059803
30	0.517857	0.04224876685
30	0.553571	0.03944150076
30	0.589286	0.03460913506
30	0.625	0.02739108404
30	0.660714	0.0237221705
30	0.696429	0.01518483374
30	0.732143	0.009802639654
30	0.767857	0.004150563344
30	0.803571	0
30	0.839286	0
30	0.875	0
30	0.910714	0
30	0.946429	0

32	0.267857	0.01247539902
32	0.303571	0.02152188844
32	0.339286	0.02889897965
32	0.375	0.03521791114
32	0.410714	0.03986566953
32	0.446429	0.04311019811
32	0.482143	0.04458059803
32	0.517857	0.04224876685
32	0.553571	0.03944150076
32	0.589286	0.03460913506
32	0.625	0.02739108404
32	0.660714	0.0237221705
32	0.696429	0.01518483374
32	0.732143	0.009802639654
32	0.767857	0.004150563344
32	0.803571	0
32	0.839286	0
32	0.875	0
32	0.910714	0
32	0.946429	0

34	0.267857	0.01247539902
34	0.303571	0.02152188844
34	0.339286	0.02889897965
34	0.375	0.03521791114
34	0.410714	0.03986566953
34	0.446429	0.04311019811
34	0.482143	0.04458059803
34	0.517857	0.04224876685
34	0.553571	0.03944150076
34	0.589286	0.03460913506
34	0.625	0.02739108404
34	0.660714	0.0237221705
34	0.696429	0.01518483374
34	0.732143	0.009802639654
34	0.767857	0.004150563344
34	0.803571	0
34	0.839286	0
34	0.875	0
34	0.910714	0
34	0.946429	0

36	0.267857	0.01247539902
36	0.303571	0.02152188844
36	0.339286	0.02889897965
36	0.375	0.03521791114
36	0.410714	0.03986566953
36	0.446429	0.04311019811
36	0.482143	0.04458059803
36	0.517857	0.04224876685
36	0.553571	0.03944150076
