#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001072      0.005387     0.003402     0.004852     0.026137     -4435.385564
0.001072      0.178873     0.018941     0.000000     0.227288     1969.787606
0.001069      0.175442     0.019603     0.000000     0.235231     2342.480847
0.001064      0.172821     0.020414     0.000000     0.241821     2259.864180
0.001060      0.169832     0.021311     0.000000     0.242215     2102.846619
0.001055      0.166529     0.022304     0.000000     0.242712     1956.935676
0.001050      0.162868     0.023406     0.000000     0.243346     1799.776863
0.001043      0.158814     0.024633     0.000000     0.244180     1669.600437
0.001036      0.154335     0.026005     0.000000     0.245309     1578.741279
0.001029      0.149400     0.027548     0.000000     0.246881     1426.527723
0.001020      0.143983     0.029299     0.000000     0.249141     1330.552245
0.001010      0.138077     0.031315     0.000000     0.252512     1279.771292
0.000998      0.131710     0.033706     0.000000     0.257814     1152.589397
0.000983      0.124983     0.036648     0.000000     0.266569     1043.567588
0.000970      0.117721     0.039376     0.000000     0.275786     1032.164609
0.000959      0.110031     0.041463     0.000000     0.283759     1014.474414
0.000952      0.102223     0.043013     0.000000     0.291454     969.430474
0.000946      0.094535     0.044021     0.000000     0.299177     919.375528
0.000944      0.087186     0.044525     0.000000     0.307365     859.931908
0.000943      0.080354     0.044603     0.000000     0.316558     799.146141
0.000945      0.074163     0.044352     0.000000     0.327361     620.157501
0.000948      0.068675     0.043877     0.000000     0.340406     649.860988
0.000951      0.063887     0.043267     0.000000     0.356323     645.785572
0.000956      0.059744     0.042587     0.000000     0.375718     665.029123
0.000961      0.056125     0.041855     0.000000     0.399120     649.479866
0.000967      0.052835     0.041018     0.000000     0.426927     629.178404
0.000989      0.046882     0.038104     0.000000     0.451380     602.460508
0.000000      0.000000     0.000000     0.000000     0.000000     570.878079
0.000000      0.000000     0.000000     0.000000     0.000000     512.505865
0.000000      0.000000     0.000000     0.000000     0.000000     465.667031
0.000000      0.000000     0.000000     0.000000     0.000000     399.892043
0.000000      0.000000     0.000000     0.000000     0.000000     485.018366
0.000000      0.000000     0.000000     0.000000     0.000000     485.711848
0.000000      0.000000     0.000000     0.000000     0.000000     484.743625
0.000000      0.000000     0.000000     0.000000     0.000000     478.300064
0.000000      0.000000     0.000000     0.000000     0.000000     468.361995
0.000000      0.000000     0.000000     0.000000     0.000000     454.661539
0.000000      0.000000     0.000000     0.000000     0.000000     441.790978
0.000000      0.000000     0.000000     0.000000     0.000000     399.183628
0.000000      0.000000     0.000000     0.000000     0.000000     355.329715
0.000000      0.000000     0.000000     0.000000     0.000000     358.288419
0.000000      0.000000     0.000000     0.000000     0.000000     376.308671
0.000000      0.000000     0.000000     0.000000     0.000000     401.063164
0.000000      0.000000     0.000000     0.000000     0.000000     405.894208
0.000000      0.000000     0.000000     0.000000     0.000000     407.895111
0.000000      0.000000     0.000000     0.000000     0.000000     407.317009
0.000000      0.000000     0.000000     0.000000     0.000000     404.150969
0.000000      0.000000     0.000000     0.000000     0.000000     399.840814
0.000000      0.000000     0.000000     0.000000     0.000000     393.586270
0.000000      0.000000     0.000000     0.000000     0.000000     381.563103
0.000000      0.000000     0.000000     0.000000     0.000000     372.016336
0.000000      0.000000     0.000000     0.000000     0.000000     332.697663
0.000000      0.000000     0.000000     0.000000     0.000000     356.702094
0.000000      0.000000     0.000000     0.000000     0.000000     379.351627
0.000000      0.000000     0.000000     0.000000     0.000000     386.159124
0.000000      0.000000     0.000000     0.000000     0.000000     391.081837
0.000000      0.000000     0.000000     0.000000     0.000000     394.931886
0.000000      0.000000     0.000000     0.000000     0.000000     397.312699
0.000000      0.000000     0.000000     0.000000     0.000000     399.379291
0.000000      0.000000     0.000000     0.000000     0.000000     401.602876
