#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001101      0.000225     0.000101     0.030962     0.000684     -1646191.162381
0.001199      0.000568     0.000203     0.007175     0.001402     -307749.489810
0.001199      0.000651     0.000267     0.009505     0.001809     -231893.472124
0.001220      0.000763     0.000308     0.007977     0.002093     -161547.579021
0.001221      0.000904     0.000356     0.006304     0.002425     -129273.382140
0.001223      0.000958     0.000399     0.006859     0.002704     -109635.938322
0.001224      0.001028     0.000446     0.007016     0.003018     -96806.661006
0.001208      0.001204     0.000516     0.005773     0.003496     -88085.155714
0.001210      0.001197     0.000555     0.006823     0.003773     -81491.430366
0.001229      0.001160     0.000570     0.007912     0.003905     -76952.745087
0.001215      0.001393     0.000644     0.005855     0.004376     -73485.463009
0.001211      0.001464     0.000694     0.005799     0.004724     -71150.498982
0.001218      0.001447     0.000719     0.006387     0.004932     -69443.221234
0.001226      0.001464     0.000744     0.006576     0.005127     -68766.466502
0.001213      0.001680     0.000818     0.005307     0.005594     -68773.485845
0.001203      0.001818     0.000882     0.004831     0.006025     -70256.909857
0.001196      0.001895     0.000934     0.004732     0.006400     -72404.768555
0.001193      0.001937     0.000977     0.004784     0.006725     -94423.054527
0.001194      0.001952     0.001010     0.004933     0.006996     -65776.062664
0.001197      0.001947     0.001033     0.005141     0.007211     -60477.898343
0.001211      0.001861     0.001026     0.005719     0.007267     -54836.396284
0.001215      0.001907     0.001053     0.005603     0.007455     -53218.713358
0.001201      0.002137     0.001135     0.004703     0.007921     -51015.142284
0.001194      0.002269     0.001194     0.004345     0.008311     -49138.088856
0.001185      0.002416     0.001260     0.003999     0.008744     -47697.743137
0.001179      0.002515     0.001315     0.003838     0.009135     -46451.691137
0.001173      0.002590     0.001365     0.003752     0.009507     -45456.495103
0.001170      0.002644     0.001410     0.003723     0.009859     -44496.916754
0.001167      0.002686     0.001451     0.003719     0.010191     -43829.668855
0.001165      0.002714     0.001487     0.003740     0.010500     -43256.913135
0.001164      0.002734     0.001519     0.003775     0.010789     -42856.820027
0.001164      0.002744     0.001547     0.003827     0.011052     -42460.488524
0.001166      0.002741     0.001568     0.003902     0.011283     -42311.016367
0.001169      0.002722     0.001581     0.004008     0.011474     -42295.909807
0.001173      0.002694     0.001589     0.004134     0.011630     -42322.059868
0.001188      0.002539     0.001547     0.004591     0.011557     -42649.207645
0.001177      0.002747     0.001633     0.004099     0.012011     -43172.038467
0.001176      0.002802     0.001667     0.004018     0.012265     -44197.352318
0.001165      0.003008     0.001754     0.003632     0.012754     -45213.032620
0.001158      0.003151     0.001821     0.003412     0.013180     -52311.552030
0.001152      0.003272     0.001883     0.003251     0.013590     -49095.917499
0.001147      0.003372     0.001938     0.003138     0.013981     -47700.454508
0.001143      0.003457     0.001989     0.003052     0.014359     -44772.989320
0.001139      0.003530     0.002037     0.002989     0.014727     -41559.998653
0.001135      0.003595     0.002083     0.002939     0.015087     -40061.822182
0.001133      0.003650     0.002125     0.002904     0.015437     -38857.755677
0.001130      0.003698     0.002165     0.002877     0.015778     -38031.893291
0.001128      0.003739     0.002203     0.002860     0.016111     -37310.130897
0.001126      0.003775     0.002239     0.002847     0.016438     -36773.469791
0.001125      0.003804     0.002272     0.002842     0.016754     -36339.434575
0.001124      0.003828     0.002303     0.002844     0.017061     -36106.032883
0.001123      0.003844     0.002330     0.002852     0.017355     -35898.648413
0.001123      0.003854     0.002355     0.002866     0.017639     -35826.548134
0.001123      0.003854     0.002376     0.002891     0.017902     -35839.101246
0.001124      0.003844     0.002391     0.002927     0.018145     -36051.792527
0.001127      0.003806     0.002395     0.002994     0.018340     -36325.063915
0.001129      0.003784     0.002403     0.003043     0.018548     -36796.930849
0.001129      0.003803     0.002427     0.003041     0.018816     -37470.842387
0.001128      0.003832     0.002456     0.003026     0.019100     -38598.728921
0.001119      0.004031     0.002553     0.002831     0.019656     -40157.038027
0.001113      0.004156     0.002621     0.002750     0.020107     -45320.854014
0.001108      0.004271     0.002685     0.002683     0.020543     -42454.410338
0.001104      0.004372     0.002743     0.002633     0.020959     -50654.474761
0.001100      0.004464     0.002798     0.002593     0.021362     -40079.864053
0.001097      0.004546     0.002849     0.002562     0.021751     -38485.645465
0.001094      0.004624     0.002899     0.002537     0.022137     -36902.825063
0.001091      0.004696     0.002948     0.002520     0.022536     -35867.032113
0.001089      0.004761     0.002994     0.002507     0.022924     -35199.418457
0.001086      0.004824     0.003040     0.002496     0.023306     -34783.397734
0.001084      0.004883     0.003083     0.002488     0.023679     -34519.090392
0.001082      0.004939     0.003125     0.002482     0.024045     -34551.982605
0.001080      0.004990     0.003165     0.002479     0.024401     -34729.210388
0.001079      0.005039     0.003204     0.002477     0.024751     -35271.482898
0.001077      0.005083     0.003240     0.002477     0.025091     -36100.703229
0.001076      0.005124     0.003275     0.002480     0.025421     -38470.150421
0.001075      0.005159     0.003307     0.002487     0.025737     -39367.137353
0.001074      0.005188     0.003337     0.002496     0.026040     -45575.118032
0.001074      0.005216     0.003365     0.002506     0.026336     -43886.018040
0.001075      0.005200     0.003374     0.002544     0.026547     -37677.843376
0.001077      0.005177     0.003379     0.002587     0.026736     -36377.364023
0.001083      0.005030     0.003326     0.002716     0.026678     -35565.394041
0.001073      0.005311     0.003466     0.002548     0.027424     -35488.249789
0.001067      0.005492     0.003560     0.002459     0.027991     -36092.015358
0.001061      0.005661     0.003649     0.002382     0.028541     -38281.564335
0.001056      0.005813     0.003731     0.002319     0.029065     -44042.259793
0.001052      0.005957     0.003809     0.002264     0.029576     -40601.729100
0.001047      0.006092     0.003884     0.002217     0.030074     -37006.152563
0.001044      0.006223     0.003957     0.002174     0.030567     -37115.495097
0.001040      0.006348     0.004027     0.002135     0.031052     -44207.391301
0.001036      0.006471     0.004097     0.002099     0.031534     -37759.100916
0.001033      0.006589     0.004165     0.002067     0.032011     -35233.871696
0.001030      0.006707     0.004232     0.002036     0.032488     -40791.000543
0.001026      0.006822     0.004299     0.002007     0.032962     -40211.755991
0.001023      0.006933     0.004364     0.001981     0.033431     -38982.595063
0.001021      0.007042     0.004428     0.001956     0.033896     -40600.383651
0.001018      0.007126     0.004483     0.001942     0.034320     -38250.521055
0.001014      0.007307     0.004577     0.001892     0.034917     -38233.139495
0.001026      0.006860     0.004407     0.002089     0.034367     -28820.179631
