#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000809      0.000230     0.000103     0.026332     0.000698     70864.041211
0.001800      0.000453     0.000188     0.024897     0.001272     38381.841608
0.001764      0.000798     0.000276     0.007854     0.001920     35317.773173
0.001780      0.000747     0.000309     0.014899     0.002095     -7.828397
0.001783      0.000865     0.000356     0.012750     0.002415     -33467.743711
0.001719      0.001197     0.000458     0.007285     0.003130     -10867.583750
0.001715      0.001079     0.000500     0.012635     0.003393     -11411.241575
0.001684      0.001278     0.000582     0.010137     0.003947     -11027.345361
0.001643      0.001532     0.000682     0.007899     0.004621     -11415.171676
0.001640      0.001471     0.000720     0.009767     0.004927     -11884.075196
0.001652      0.001421     0.000740     0.011181     0.005133     -12609.893696
0.001610      0.001780     0.000858     0.007710     0.005853     -13653.558324
0.001595      0.001872     0.000921     0.007525     0.006310     -16878.747821
0.001601      0.001803     0.000941     0.008570     0.006536     -13062.879859
0.001596      0.001860     0.000986     0.008450     0.006875     -12579.209719
0.001557      0.002251     0.001117     0.006196     0.007664     -12136.937826
0.001538      0.002426     0.001202     0.005654     0.008238     -11834.316975
0.001524      0.002525     0.001270     0.005518     0.008740     -11493.042507
0.001510      0.002624     0.001339     0.005380     0.009246     -11176.353016
0.001503      0.002649     0.001389     0.005510     0.009654     -11729.187490
0.001501      0.002628     0.001421     0.005782     0.009984     -11864.712368
0.001514      0.002465     0.001403     0.006622     0.010076     -12032.279816
0.001508      0.002543     0.001454     0.006426     0.010464     -12239.259401
0.001481      0.002863     0.001582     0.005382     0.011207     -12455.204496
0.001467      0.003031     0.001665     0.005000     0.011766     -12750.040895
0.001458      0.003128     0.001728     0.004848     0.012237     -13110.500428
0.001447      0.003266     0.001803     0.004605     0.012769     -14105.039281
0.001437      0.003382     0.001873     0.004433     0.013278     -15237.244353
0.001431      0.003445     0.001927     0.004383     0.013718     -13357.909106
0.001427      0.003471     0.001968     0.004412     0.014103     -13130.771352
0.001429      0.003407     0.001978     0.004625     0.014352     -12904.261985
0.001424      0.003459     0.002025     0.004581     0.014756     -12799.663178
0.001412      0.003637     0.002114     0.004285     0.015345     -12759.117660
0.001406      0.003711     0.002169     0.004207     0.015789     -12628.960268
0.001393      0.003907     0.002265     0.003924     0.016416     -12864.250794
0.001385      0.004020     0.002334     0.003799     0.016930     -13262.009029
0.001382      0.004049     0.002375     0.003805     0.017326     -13600.445484
0.001370      0.004242     0.002471     0.003575     0.017961     -15340.850275
0.001363      0.004355     0.002542     0.003469     0.018488     -14907.191625
0.001360      0.004376     0.002581     0.003484     0.018886     -13578.191047
0.001347      0.004612     0.002693     0.003239     0.019598     -13254.844436
0.001338      0.004755     0.002775     0.003138     0.020182     -12980.354580
0.001331      0.004874     0.002850     0.003098     0.020756     -12807.955318
0.001326      0.004929     0.002904     0.003123     0.021239     -12268.472943
0.001318      0.005074     0.002990     0.003058     0.021867     -12433.403192
0.001312      0.005181     0.003062     0.003032     0.022433     -13140.221083
0.001309      0.005198     0.003101     0.003087     0.022849     -13552.293891
0.001298      0.005423     0.003215     0.002955     0.023606     -14517.607595
0.001290      0.005608     0.003315     0.002866     0.024298     -15281.841007
0.001282      0.005762     0.003404     0.002807     0.024941     -14270.348597
0.001278      0.005832     0.003463     0.002813     0.025446     -14377.965888
0.001267      0.006096     0.003592     0.002679     0.026272     -14689.874710
0.001255      0.006417     0.003740     0.002520     0.027189     -15676.890252
0.001245      0.006693     0.003872     0.002405     0.028034     -14572.629512
0.001235      0.006973     0.004005     0.002296     0.028887     -14635.785084
0.001228      0.007165     0.004108     0.002242     0.029602     -15086.981588
0.001223      0.007256     0.004177     0.002241     0.030156     -14554.691403
0.001219      0.007359     0.004249     0.002234     0.030729     -14660.593286
0.001215      0.007445     0.004315     0.002235     0.031275     -14790.823924
0.001211      0.007517     0.004377     0.002241     0.031800     -16039.561896
0.001210      0.007529     0.004417     0.002276     0.032224     -15049.193426
0.001204      0.007682     0.004507     0.002243     0.032879     -15145.988197
0.001193      0.008074     0.004681     0.002107     0.033924     -16108.431037
0.001184      0.008384     0.004825     0.002017     0.034834     -15308.278244
0.001176      0.008688     0.004967     0.001936     0.035735     -15415.857436
0.001169      0.008964     0.005098     0.001871     0.036590     -16366.514845
0.001163      0.009196     0.005215     0.001824     0.037378     -15930.742342
0.001157      0.009426     0.005332     0.001781     0.038163     -16911.422890
0.001151      0.009647     0.005445     0.001743     0.038934     -16781.800385
0.001146      0.009856     0.005554     0.001710     0.039689     -15665.152139
0.001141      0.010063     0.005663     0.001678     0.040442     -15529.387375
0.001137      0.010201     0.005750     0.001668     0.041088     -15523.853841
0.001128      0.010614     0.005925     0.001585     0.042161     -15852.133480
0.001120      0.011076     0.006115     0.001497     0.043307     -16304.642245
0.001112      0.011513     0.006296     0.001422     0.044410     -16187.466826
0.001104      0.011949     0.006474     0.001354     0.045509     -16593.469760
0.001097      0.012386     0.006651     0.001291     0.046604     -18896.569837
0.001090      0.012828     0.006828     0.001231     0.047704     -18935.165316
0.001083      0.013276     0.007006     0.001176     0.048809     -16807.189641
0.001077      0.013730     0.007184     0.001123     0.049920     -16570.275004
0.001070      0.014208     0.007367     0.001070     0.051060     -16501.274107
0.001064      0.014633     0.007535     0.001029     0.052125     -16964.918109
0.001059      0.015058     0.007702     0.000990     0.053187     -17104.212552
0.001053      0.015499     0.007872     0.000952     0.054270     -17638.634776
0.001048      0.015954     0.008045     0.000915     0.055370     -20864.432252
0.001042      0.016433     0.008223     0.000877     0.056499     -20301.517918
0.001037      0.016868     0.008389     0.000847     0.057568     -18715.869546
0.001030      0.017689     0.008646     0.000780     0.059140     -18910.122675
0.001023      0.018509     0.008896     0.000720     0.060691     -22552.693678
0.001016      0.019353     0.009146     0.000664     0.062256     -20724.081859
0.001010      0.020221     0.009394     0.000612     0.063832     -19467.449040
0.001004      0.021124     0.009643     0.000563     0.065432     -22124.710472
0.000998      0.022056     0.009891     0.000516     0.067047     -24075.016546
0.000992      0.023064     0.010146     0.000470     0.068729     -21844.035975
0.000987      0.023938     0.010371     0.000436     0.070241     -26345.509253
0.000978      0.026155     0.010788     0.000346     0.073164     -26268.681598
0.000971      0.028291     0.011148     0.000275     0.075875     -24367.408618
0.000967      0.029632     0.011388     0.000241     0.077729     -27384.330888
