#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000955      0.004474     0.002996     0.002690     0.024358     -1636.505207
0.000955      0.043840     0.015061     0.000000     0.102615     8977.182548
0.000948      0.041420     0.015587     0.000000     0.106694     8264.930145
0.000947      0.039378     0.015683     0.000000     0.106632     7296.790189
0.000946      0.037348     0.015733     0.000000     0.106605     6574.762553
0.000946      0.035366     0.015740     0.000000     0.106663     5935.298807
0.000947      0.033445     0.015706     0.000000     0.106839     5194.484178
0.000948      0.031605     0.015634     0.000000     0.107179     4919.255363
0.000949      0.029861     0.015531     0.000000     0.107738     4671.834161
0.000951      0.028229     0.015404     0.000000     0.108571     4314.138329
0.000954      0.026716     0.015259     0.000000     0.109739     3838.055640
0.000956      0.025327     0.015105     0.000000     0.111300     3700.520781
0.000959      0.024061     0.014947     0.000000     0.113312     3178.807352
0.000962      0.022915     0.014791     0.000000     0.115832     2981.198717
0.000965      0.021881     0.014641     0.000000     0.118919     3034.237597
0.000967      0.020951     0.014497     0.000000     0.122634     2877.958954
0.000970      0.020116     0.014363     0.000000     0.127043     2704.507713
0.000972      0.019368     0.014239     0.000000     0.132219     2372.265764
0.000975      0.018698     0.014125     0.000000     0.138244     2406.466538
0.000977      0.018097     0.014021     0.000000     0.145215     2270.514265
0.000979      0.017559     0.013926     0.000000     0.153243     1863.606144
0.000981      0.017077     0.013840     0.000000     0.162461     2001.452851
0.000983      0.016645     0.013762     0.000000     0.165147     1997.895653
0.000984      0.016258     0.013692     0.000000     0.164308     1933.410157
0.000986      0.015913     0.013630     0.000000     0.163555     1854.533617
0.000987      0.015605     0.013574     0.000000     0.162884     1644.595911
0.000990      0.015240     0.013452     0.000000     0.161425     1648.233312
0.000000      0.000000     0.000000     0.000000     0.000000     1639.138962
0.000000      0.000000     0.000000     0.000000     0.000000     1579.304554
0.000000      0.000000     0.000000     0.000000     0.000000     1326.545674
0.000000      0.000000     0.000000     0.000000     0.000000     1483.873825
0.000000      0.000000     0.000000     0.000000     0.000000     1465.954741
0.000000      0.000000     0.000000     0.000000     0.000000     1439.866931
0.000000      0.000000     0.000000     0.000000     0.000000     1394.123329
0.000000      0.000000     0.000000     0.000000     0.000000     1292.511595
0.000000      0.000000     0.000000     0.000000     0.000000     1216.341202
0.000000      0.000000     0.000000     0.000000     0.000000     1291.175156
0.000000      0.000000     0.000000     0.000000     0.000000     1268.603267
0.000000      0.000000     0.000000     0.000000     0.000000     1211.762318
0.000000      0.000000     0.000000     0.000000     0.000000     1143.048214
0.000000      0.000000     0.000000     0.000000     0.000000     1220.685637
0.000000      0.000000     0.000000     0.000000     0.000000     1214.839393
0.000000      0.000000     0.000000     0.000000     0.000000     1202.198205
0.000000      0.000000     0.000000     0.000000     0.000000     1180.900815
0.000000      0.000000     0.000000     0.000000     0.000000     1155.036943
0.000000      0.000000     0.000000     0.000000     0.000000     1049.342413
0.000000      0.000000     0.000000     0.000000     0.000000     1074.798504
0.000000      0.000000     0.000000     0.000000     0.000000     1123.130899
0.000000      0.000000     0.000000     0.000000     0.000000     1124.894813
0.000000      0.000000     0.000000     0.000000     0.000000     1122.606746
0.000000      0.000000     0.000000     0.000000     0.000000     1088.584122
0.000000      0.000000     0.000000     0.000000     0.000000     1104.667366
0.000000      0.000000     0.000000     0.000000     0.000000     1110.992005
0.000000      0.000000     0.000000     0.000000     0.000000     1104.202490
0.000000      0.000000     0.000000     0.000000     0.000000     1095.724925
0.000000      0.000000     0.000000     0.000000     0.000000     1079.980951
0.000000      0.000000     0.000000     0.000000     0.000000     1056.214695
0.000000      0.000000     0.000000     0.000000     0.000000     958.336617
0.000000      0.000000     0.000000     0.000000     0.000000     1069.146951
0.000000      0.000000     0.000000     0.000000     0.000000     1084.102172
0.000000      0.000000     0.000000     0.000000     0.000000     1101.312127
0.000000      0.000000     0.000000     0.000000     0.000000     1119.183105
0.000000      0.000000     0.000000     0.000000     0.000000     1141.001236
0.000000      0.000000     0.000000     0.000000     0.000000     1118.373441
0.000000      0.000000     0.000000     0.000000     0.000000     1114.163367
0.000000      0.000000     0.000000     0.000000     0.000000     1112.292419
0.000000      0.000000     0.000000     0.000000     0.000000     1107.756943
0.000000      0.000000     0.000000     0.000000     0.000000     1106.310670
0.000000      0.000000     0.000000     0.000000     0.000000     1101.047011
0.000000      0.000000     0.000000     0.000000     0.000000     1098.056004
0.000000      0.000000     0.000000     0.000000     0.000000     1088.922645
0.000000      0.000000     0.000000     0.000000     0.000000     1082.855026
0.000000      0.000000     0.000000     0.000000     0.000000     1024.380899
0.000000      0.000000     0.000000     0.000000     0.000000     1045.222273
0.000000      0.000000     0.000000     0.000000     0.000000     1108.968668
0.000000      0.000000     0.000000     0.000000     0.000000     1136.211520
0.000000      0.000000     0.000000     0.000000     0.000000     1161.788121
0.000000      0.000000     0.000000     0.000000     0.000000     1187.486365
0.000000      0.000000     0.000000     0.000000     0.000000     1221.824809
0.000000      0.000000     0.000000     0.000000     0.000000     1252.117971
0.000000      0.000000     0.000000     0.000000     0.000000     1403.666502
0.000000      0.000000     0.000000     0.000000     0.000000     1317.739134
0.000000      0.000000     0.000000     0.000000     0.000000     1262.100634
0.000000      0.000000     0.000000     0.000000     0.000000     1243.286655
0.000000      0.000000     0.000000     0.000000     0.000000     1231.617703
0.000000      0.000000     0.000000     0.000000     0.000000     1223.667694
0.000000      0.000000     0.000000     0.000000     0.000000     1221.118356
0.000000      0.000000     0.000000     0.000000     0.000000     1170.502171
0.000000      0.000000     0.000000     0.000000     0.000000     1229.079102
0.000000      0.000000     0.000000     0.000000     0.000000     1300.009292
0.000000      0.000000     0.000000     0.000000     0.000000     1360.725093
0.000000      0.000000     0.000000     0.000000     0.000000     1428.275801
0.000000      0.000000     0.000000     0.000000     0.000000     1669.207791
0.000000      0.000000     0.000000     0.000000     0.000000     1657.026573
0.000000      0.000000     0.000000     0.000000     0.000000     1449.334302
0.000000      0.000000     0.000000     0.000000     0.000000     1418.794941
0.000000      0.000000     0.000000     0.000000     0.000000     1406.410055
0.000000      0.000000     0.000000     0.000000     0.000000     1417.185334
