#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000527      0.000184     0.000083     0.015552     0.000561     24635.519630
0.001504      0.000308     0.000132     0.023868     0.000891     20972.763851
0.001515      0.000581     0.000208     0.007683     0.001434     -1587.462506
0.001507      0.000639     0.000258     0.010151     0.001754     -12517.243806
0.001502      0.000736     0.000310     0.009665     0.002099     -20438.448085
0.001474      0.000881     0.000380     0.008389     0.002574     -27142.414711
0.001461      0.000947     0.000438     0.008906     0.002972     -33707.147554
0.001445      0.001062     0.000500     0.008115     0.003401     -57418.125582
0.001413      0.001278     0.000587     0.006303     0.003983     -33151.108101
0.001407      0.001286     0.000632     0.007038     0.004331     -29238.389042
0.001421      0.001223     0.000646     0.008298     0.004497     -26376.619605
0.001389      0.001509     0.000744     0.005944     0.005098     -24720.185851
0.001379      0.001583     0.000798     0.005829     0.005494     -23591.677944
0.001380      0.001570     0.000827     0.006261     0.005760     -22771.778445
0.001388      0.001543     0.000844     0.006731     0.005952     -22263.363089
0.001357      0.001855     0.000954     0.005039     0.006601     -21824.643619
0.001342      0.001986     0.001023     0.004663     0.007075     -21533.593893
0.001331      0.002077     0.001083     0.004501     0.007518     -21338.466177
0.001324      0.002126     0.001132     0.004500     0.007908     -21232.455785
0.001321      0.002141     0.001169     0.004607     0.008240     -21187.559583
0.001321      0.002128     0.001194     0.004794     0.008515     -21298.520230
0.001331      0.002041     0.001190     0.005259     0.008646     -21444.153549
0.001338      0.002006     0.001195     0.005509     0.008803     -21787.123838
0.001311      0.002316     0.001319     0.004450     0.009471     -22220.742766
0.001299      0.002470     0.001393     0.004088     0.009959     -24520.638407
0.001288      0.002595     0.001460     0.003847     0.010424     -24875.462063
0.001280      0.002690     0.001518     0.003701     0.010857     -21615.656999
0.001274      0.002761     0.001570     0.003619     0.011261     -21081.308995
0.001269      0.002814     0.001615     0.003577     0.011643     -20516.558296
0.001266      0.002849     0.001654     0.003569     0.011999     -20143.133695
0.001264      0.002865     0.001686     0.003595     0.012325     -19921.762946
0.001263      0.002863     0.001710     0.003655     0.012616     -19735.329982
0.001265      0.002841     0.001726     0.003749     0.012870     -19633.176661
0.001274      0.002728     0.001703     0.004039     0.012965     -19592.588898
0.001269      0.002808     0.001753     0.003907     0.013339     -19615.963612
0.001255      0.003015     0.001852     0.003542     0.013921     -19692.963208
0.001246      0.003138     0.001920     0.003368     0.014391     -19894.295758
0.001239      0.003241     0.001981     0.003240     0.014838     -20154.818139
0.001234      0.003322     0.002034     0.003154     0.015259     -20643.092406
0.001230      0.003383     0.002081     0.003121     0.015654     -21210.119418
0.001226      0.003430     0.002121     0.003131     0.016024     -25058.501872
0.001224      0.003458     0.002154     0.003164     0.016360     -20905.928358
0.001224      0.003469     0.002179     0.003217     0.016661     -20384.386052
0.001228      0.003411     0.002175     0.003365     0.016841     -19843.438829
0.001224      0.003489     0.002225     0.003316     0.017226     -19531.926957
0.001212      0.003690     0.002328     0.003122     0.017860     -19326.640742
0.001204      0.003823     0.002403     0.003024     0.018381     -19207.889075
0.001197      0.003942     0.002472     0.002950     0.018878     -19160.874252
0.001192      0.004045     0.002535     0.002896     0.019349     -19180.674932
0.001187      0.004137     0.002593     0.002855     0.019801     -19268.482776
0.001182      0.004219     0.002648     0.002824     0.020237     -19433.333547
0.001179      0.004293     0.002699     0.002803     0.020656     -19690.468281
