#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001398      0.000382     0.000171     0.039816     0.001162     46806.322409
0.001545      0.000853     0.000313     0.011621     0.002151     25746.603600
0.001653      0.000727     0.000330     0.025314     0.002239     13980.962197
0.001696      0.000972     0.000386     0.014323     0.002628     7558.314192
0.001737      0.000964     0.000414     0.017942     0.002807     3410.607742
0.001724      0.001203     0.000490     0.012549     0.003327     475.420709
0.001742      0.001152     0.000524     0.016938     0.003557     -1911.793974
0.001731      0.001357     0.000596     0.013297     0.004036     -3652.119746
0.001695      0.001650     0.000697     0.009829     0.004722     -8816.407846
0.001698      0.001568     0.000734     0.012784     0.004991     -5669.385911
0.001730      0.001449     0.000732     0.016009     0.005041     -5416.384043
0.001683      0.001947     0.000866     0.009255     0.005870     -5375.351912
0.001668      0.002048     0.000936     0.009200     0.006353     -5452.788465
0.001673      0.001964     0.000962     0.010869     0.006580     -5575.324012
0.001679      0.001956     0.000990     0.011530     0.006821     -5697.806821
0.001646      0.002341     0.001110     0.008500     0.007562     -5844.228713
0.001633      0.002456     0.001179     0.008202     0.008039     -5987.887082
0.001638      0.002367     0.001197     0.009290     0.008247     -6138.185163
0.001625      0.002532     0.001271     0.008514     0.008740     -6275.886731
0.001602      0.002824     0.001377     0.007189     0.009417     -6431.133892
0.001591      0.002936     0.001446     0.006978     0.009902     -6592.106791
0.001593      0.002853     0.001466     0.007675     0.010135     -6750.122489
0.001581      0.003006     0.001540     0.007198     0.010643     -6935.796520
0.001547      0.003552     0.001709     0.005396     0.011661     -7157.191223
0.001526      0.003877     0.001830     0.004719     0.012457     -7368.441429
0.001508      0.004134     0.001941     0.004330     0.013200     -8247.038842
0.001494      0.004319     0.002038     0.004143     0.013873     -7665.135696
0.001482      0.004442     0.002124     0.004091     0.014478     -7659.331222
0.001473      0.004498     0.002195     0.004154     0.015007     -7698.804280
0.001467      0.004502     0.002251     0.004300     0.015467     -7791.503867
0.001469      0.004351     0.002265     0.004726     0.015717     -7923.157536
0.001459      0.004465     0.002343     0.004626     0.016293     -8114.985131
0.001434      0.005009     0.002531     0.003837     0.017428     -8316.948494
0.001417      0.005362     0.002670     0.003465     0.018331     -9211.934532
0.001403      0.005665     0.002799     0.003205     0.019180     -8822.911156
0.001391      0.005926     0.002918     0.003021     0.019985     -8603.847110
0.001384      0.005998     0.002994     0.003034     0.020561     -8616.519696
0.001360      0.006737     0.003222     0.002476     0.021963     -8705.439661
0.001343      0.007336     0.003413     0.002136     0.023192     -8864.849444
0.001327      0.007916     0.003597     0.001871     0.024396     -9068.177725
0.001313      0.008469     0.003773     0.001665     0.025569     -9984.462943
0.001300      0.009002     0.003945     0.001498     0.026722     -9735.776085
0.001288      0.009541     0.004117     0.001355     0.027883     -9314.739860
0.001277      0.009970     0.004271     0.001266     0.028930     -9309.598001
0.001261      0.011003     0.004527     0.001029     0.030708     -9367.618988
0.001247      0.012042     0.004772     0.000843     0.032462     -9525.574378
0.001234      0.013079     0.005006     0.000695     0.034189     -9736.898119
0.001222      0.014135     0.005233     0.000574     0.035911     -10535.225002
0.001212      0.015210     0.005454     0.000472     0.037632     -10900.964337
0.001202      0.016322     0.005669     0.000386     0.039368     -10040.656715
0.001194      0.017424     0.005876     0.000316     0.041077     -9997.630370
0.001185      0.018896     0.006098     0.000232     0.043100     -10009.015946
0.001177      0.020577     0.006312     0.000155     0.045262     -10143.685976
0.001171      0.022234     0.006506     0.000096     0.047356     -10378.491048
0.001165      0.023923     0.006684     0.000050     0.049434     -10903.628485
0.001160      0.025634     0.006844     0.000015     0.051481     -12211.150632
0.001156      0.027364     0.006971     -0.000014     0.053422     -10742.442607
0.001153      0.029106     0.007090     -0.000035     0.055367     -10685.454780
0.001150      0.031013     0.007208     -0.000050     0.057471     -10650.367504
0.001147      0.033205     0.007324     -0.000062     0.059841     -10755.700770
0.001144      0.035344     0.007449     -0.000067     0.062228     -11014.437366
0.001141      0.037497     0.007578     -0.000070     0.064669     -11395.483707
0.001139      0.039658     0.007712     -0.000070     0.067154     -13256.513345
0.001136      0.041829     0.007850     -0.000069     0.069676     -11517.312150
0.001133      0.044011     0.007992     -0.000068     0.072234     -11519.778881
0.001130      0.046272     0.008136     -0.000066     0.074883     -11615.281789
0.001128      0.048798     0.008279     -0.000064     0.077785     -11836.185207
0.001125      0.051257     0.008427     -0.000062     0.080651     -13600.703627
0.001123      0.053720     0.008577     -0.000060     0.083541     -13215.388357
0.001121      0.056181     0.008731     -0.000058     0.086445     -11814.355589
0.001118      0.058641     0.008888     -0.000056     0.089367     -11576.584432
0.001116      0.061103     0.009047     -0.000055     0.092305     -11431.203082
0.001114      0.063572     0.009210     -0.000053     0.095264     -11446.822865
0.001111      0.066037     0.009375     -0.000052     0.098233     -11583.564009
0.001109      0.068747     0.009540     -0.000051     0.101439     -11885.826218
0.001107      0.071391     0.009708     -0.000049     0.104598     -12287.236954
0.001105      0.074034     0.009879     -0.000048     0.107769     -14358.342879
0.001103      0.076668     0.010053     -0.000047     0.110943     -14203.160862
0.001101      0.079295     0.010229     -0.000046     0.114122     -12903.461983
0.001099      0.081917     0.010408     -0.000045     0.117307     -12939.494674
0.001097      0.084533     0.010590     -0.000044     0.120497     -14047.393769
