#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001065      0.004096     0.002707     0.004720     0.021701     -13693.492700
0.001065      0.149920     0.017334     0.000000     0.202998     2678.222758
0.001061      0.146781     0.017952     0.000000     0.207628     3972.409092
0.001057      0.144433     0.018710     0.000000     0.208154     3982.685454
0.001052      0.141716     0.019554     0.000000     0.208690     3804.876281
0.001047      0.138670     0.020496     0.000000     0.209339     3602.518667
0.001040      0.135252     0.021549     0.000000     0.210147     3356.137667
0.001034      0.131430     0.022732     0.000000     0.211204     3172.242715
0.001026      0.127175     0.024070     0.000000     0.212651     3007.636104
0.001017      0.122464     0.025598     0.000000     0.214723     2728.029924
0.001006      0.117290     0.027374     0.000000     0.217843     2637.990922
0.000994      0.111689     0.029509     0.000000     0.222861     2503.125104
0.000979      0.105761     0.032157     0.000000     0.231213     2261.267273
0.000966      0.099301     0.034369     0.000000     0.238847     2155.667126
0.000956      0.092544     0.036051     0.000000     0.245667     2140.555794
0.000949      0.085748     0.037244     0.000000     0.252246     2054.820268
0.000945      0.079130     0.037962     0.000000     0.258912     1967.420693
0.000943      0.072882     0.038258     0.000000     0.266099     1873.059228
0.000943      0.067147     0.038213     0.000000     0.274315     1766.620374
0.000945      0.062016     0.037920     0.000000     0.284105     1662.832601
0.000948      0.057520     0.037472     0.000000     0.296022     1333.643761
0.000952      0.053644     0.036946     0.000000     0.310611     1469.737752
0.000956      0.050339     0.036397     0.000000     0.328413     1464.758108
0.000961      0.047531     0.035860     0.000000     0.349984     1434.955660
0.000965      0.045127     0.035339     0.000000     0.375895     1393.589099
0.000969      0.043011     0.034809     0.000000     0.406738     1346.970597
0.000984      0.039597     0.033168     0.000000     0.397995     1293.050350
0.000000      0.000000     0.000000     0.000000     0.000000     1228.985013
0.000000      0.000000     0.000000     0.000000     0.000000     1166.131911
0.000000      0.000000     0.000000     0.000000     0.000000     909.358511
0.000000      0.000000     0.000000     0.000000     0.000000     1089.832909
0.000000      0.000000     0.000000     0.000000     0.000000     1079.712027
0.000000      0.000000     0.000000     0.000000     0.000000     1071.510482
0.000000      0.000000     0.000000     0.000000     0.000000     1054.100593
0.000000      0.000000     0.000000     0.000000     0.000000     1030.419164
0.000000      0.000000     0.000000     0.000000     0.000000     1003.807547
0.000000      0.000000     0.000000     0.000000     0.000000     969.813274
0.000000      0.000000     0.000000     0.000000     0.000000     932.484287
0.000000      0.000000     0.000000     0.000000     0.000000     845.941425
0.000000      0.000000     0.000000     0.000000     0.000000     775.217029
0.000000      0.000000     0.000000     0.000000     0.000000     872.656639
0.000000      0.000000     0.000000     0.000000     0.000000     873.567478
0.000000      0.000000     0.000000     0.000000     0.000000     875.296035
0.000000      0.000000     0.000000     0.000000     0.000000     869.467820
0.000000      0.000000     0.000000     0.000000     0.000000     860.678216
0.000000      0.000000     0.000000     0.000000     0.000000     850.587753
0.000000      0.000000     0.000000     0.000000     0.000000     836.837600
0.000000      0.000000     0.000000     0.000000     0.000000     822.265838
0.000000      0.000000     0.000000     0.000000     0.000000     801.574862
0.000000      0.000000     0.000000     0.000000     0.000000     782.945561
0.000000      0.000000     0.000000     0.000000     0.000000     692.482710
0.000000      0.000000     0.000000     0.000000     0.000000     747.161365
0.000000      0.000000     0.000000     0.000000     0.000000     766.027178
0.000000      0.000000     0.000000     0.000000     0.000000     770.489840
0.000000      0.000000     0.000000     0.000000     0.000000     772.375939
0.000000      0.000000     0.000000     0.000000     0.000000     770.849882
0.000000      0.000000     0.000000     0.000000     0.000000     767.849301
0.000000      0.000000     0.000000     0.000000     0.000000     764.724767
0.000000      0.000000     0.000000     0.000000     0.000000     759.592028
0.000000      0.000000     0.000000     0.000000     0.000000     753.184005
0.000000      0.000000     0.000000     0.000000     0.000000     746.682135
0.000000      0.000000     0.000000     0.000000     0.000000     729.629361
0.000000      0.000000     0.000000     0.000000     0.000000     714.561305
0.000000      0.000000     0.000000     0.000000     0.000000     737.172383
0.000000      0.000000     0.000000     0.000000     0.000000     739.961526
0.000000      0.000000     0.000000     0.000000     0.000000     741.474456
0.000000      0.000000     0.000000     0.000000     0.000000     743.125336
0.000000      0.000000     0.000000     0.000000     0.000000     743.149992
0.000000      0.000000     0.000000     0.000000     0.000000     744.400969
0.000000      0.000000     0.000000     0.000000     0.000000     744.527447
0.000000      0.000000     0.000000     0.000000     0.000000     746.289457
0.000000      0.000000     0.000000     0.000000     0.000000     747.698925
0.000000      0.000000     0.000000     0.000000     0.000000     750.839001
0.000000      0.000000     0.000000     0.000000     0.000000     753.655316
0.000000      0.000000     0.000000     0.000000     0.000000     785.218984
0.000000      0.000000     0.000000     0.000000     0.000000     755.396791
0.000000      0.000000     0.000000     0.000000     0.000000     748.610170
0.000000      0.000000     0.000000     0.000000     0.000000     743.784453
0.000000      0.000000     0.000000     0.000000     0.000000     740.862711
0.000000      0.000000     0.000000     0.000000     0.000000     739.083648
0.000000      0.000000     0.000000     0.000000     0.000000     738.274344
0.000000      0.000000     0.000000     0.000000     0.000000     738.348360
0.000000      0.000000     0.000000     0.000000     0.000000     739.335405
0.000000      0.000000     0.000000     0.000000     0.000000     740.998885
0.000000      0.000000     0.000000     0.000000     0.000000     744.551088
0.000000      0.000000     0.000000     0.000000     0.000000     748.439836
0.000000      0.000000     0.000000     0.000000     0.000000     753.996169
0.000000      0.000000     0.000000     0.000000     0.000000     761.255420
0.000000      0.000000     0.000000     0.000000     0.000000     770.774809
0.000000      0.000000     0.000000     0.000000     0.000000     783.287043
0.000000      0.000000     0.000000     0.000000     0.000000     801.380617
0.000000      0.000000     0.000000     0.000000     0.000000     822.836752
0.000000      0.000000     0.000000     0.000000     0.000000     900.956360
0.000000      0.000000     0.000000     0.000000     0.000000     907.949526
0.000000      0.000000     0.000000     0.000000     0.000000     840.659031
0.000000      0.000000     0.000000     0.000000     0.000000     834.200544
0.000000      0.000000     0.000000     0.000000     0.000000     837.270727
0.000000      0.000000     0.000000     0.000000     0.000000     856.222295
