#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000919      0.008657     0.005405     0.001402     0.041135     20311.725116
0.000913      0.008968     0.005552     0.001344     0.041985     -37841.683603
0.000913      0.023598     0.011195     0.000000     0.078845     -15671.609102
0.000917      0.019430     0.010979     0.000000     0.078543     -14323.389075
0.000929      0.017570     0.010456     0.000000     0.076942     -16324.708472
0.000940      0.016201     0.010051     0.000000     0.076117     -12940.728509
0.000948      0.015179     0.009746     0.000000     0.075946     -13724.532794
0.000954      0.014372     0.009507     0.000000     0.076265     -12609.854126
0.000960      0.013712     0.009315     0.000000     0.076996     -11078.310918
0.000965      0.013157     0.009159     0.000000     0.078097     -10681.278938
0.000969      0.012680     0.009030     0.000000     0.079546     -9425.090040
0.000972      0.012263     0.008922     0.000000     0.081339     -9226.849074
0.000975      0.011892     0.008829     0.000000     0.083482     -10071.454730
0.000978      0.011561     0.008750     0.000000     0.085989     -10511.255890
0.000980      0.011261     0.008682     0.000000     0.088883     -8679.612050
0.000982      0.010988     0.008622     0.000000     0.092193     -9227.389705
0.000984      0.010739     0.008570     0.000000     0.095957     -8183.973966
0.000986      0.010511     0.008523     0.000000     0.100217     -7455.159041
0.000987      0.010302     0.008483     0.000000     0.101791     -7177.480406
0.000988      0.010111     0.008446     0.000000     0.101355     -6992.900788
0.000990      0.009935     0.008414     0.000000     0.100967     -7664.482081
0.000991      0.009773     0.008385     0.000000     0.100621     -7099.007487
0.000992      0.009625     0.008359     0.000000     0.100313     -6486.418846
0.000993      0.009490     0.008337     0.000000     0.100038     -6923.828665
0.000993      0.009367     0.008316     0.000000     0.099794     -6334.248335
0.000994      0.009255     0.008298     0.000000     0.099579     -5578.127901
0.000995      0.009154     0.008283     0.000000     0.099392     -5247.193159
0.000996      0.009044     0.008254     0.000000     0.099048     -4999.999462
0.000000      0.000000     0.000000     0.000000     0.000000     -4836.227861
0.000000      0.000000     0.000000     0.000000     0.000000     -5001.433319
0.000000      0.000000     0.000000     0.000000     0.000000     -4629.349528
0.000000      0.000000     0.000000     0.000000     0.000000     -4446.439088
0.000000      0.000000     0.000000     0.000000     0.000000     -4747.234379
0.000000      0.000000     0.000000     0.000000     0.000000     -4589.075096
0.000000      0.000000     0.000000     0.000000     0.000000     -3805.404441
0.000000      0.000000     0.000000     0.000000     0.000000     -3511.158012
0.000000      0.000000     0.000000     0.000000     0.000000     -3266.292876
0.000000      0.000000     0.000000     0.000000     0.000000     -3059.630860
0.000000      0.000000     0.000000     0.000000     0.000000     -2893.011558
0.000000      0.000000     0.000000     0.000000     0.000000     -2754.095940
0.000000      0.000000     0.000000     0.000000     0.000000     -2661.569153
0.000000      0.000000     0.000000     0.000000     0.000000     -2608.769167
0.000000      0.000000     0.000000     0.000000     0.000000     -2686.975877
0.000000      0.000000     0.000000     0.000000     0.000000     -3098.299387
0.000000      0.000000     0.000000     0.000000     0.000000     -2210.389482
0.000000      0.000000     0.000000     0.000000     0.000000     -1960.344302
0.000000      0.000000     0.000000     0.000000     0.000000     -1715.515000
0.000000      0.000000     0.000000     0.000000     0.000000     -1513.542959
0.000000      0.000000     0.000000     0.000000     0.000000     -1325.737667
0.000000      0.000000     0.000000     0.000000     0.000000     -1154.398466
0.000000      0.000000     0.000000     0.000000     0.000000     -848.075094
0.000000      0.000000     0.000000     0.000000     0.000000     -838.343754
0.000000      0.000000     0.000000     0.000000     0.000000     -940.279199
0.000000      0.000000     0.000000     0.000000     0.000000     -933.984911
0.000000      0.000000     0.000000     0.000000     0.000000     -1407.951255
