#PressureSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000929      0.005036     0.003363     0.002073     0.027265     3449.802797
0.000929      0.026904     0.012000     0.000000     0.082582     13838.338225
0.000928      0.023408     0.012051     0.000000     0.083373     12722.964744
0.000935      0.021660     0.011721     0.000000     0.082365     10433.073808
0.000941      0.020221     0.011430     0.000000     0.081794     8558.480546
0.000946      0.019040     0.011185     0.000000     0.081666     8016.183528
0.000951      0.018039     0.010973     0.000000     0.081913     6071.656772
0.000956      0.017174     0.010789     0.000000     0.082512     6023.393368
0.000960      0.016417     0.010628     0.000000     0.083452     5859.365523
0.000963      0.015747     0.010487     0.000000     0.084732     5374.280748
0.000967      0.015150     0.010362     0.000000     0.086361     4857.260539
0.000970      0.014615     0.010252     0.000000     0.088354     3771.096750
0.000972      0.014131     0.010155     0.000000     0.090732     3497.725712
0.000975      0.013692     0.010068     0.000000     0.093521     3244.384567
0.000977      0.013293     0.009991     0.000000     0.096755     3494.373857
0.000979      0.012929     0.009921     0.000000     0.100475     3329.815876
0.000981      0.012596     0.009859     0.000000     0.104728     3126.974807
0.000983      0.012292     0.009803     0.000000     0.109571     2874.346696
0.000984      0.012014     0.009752     0.000000     0.115066     2335.012380
0.000986      0.011760     0.009707     0.000000     0.116482     1953.239768
0.000987      0.011527     0.009666     0.000000     0.115989     2165.486423
0.000988      0.011314     0.009629     0.000000     0.115544     2205.595326
0.000989      0.011121     0.009595     0.000000     0.115143     2263.585702
0.000990      0.010945     0.009565     0.000000     0.114783     2200.200168
0.000991      0.010786     0.009538     0.000000     0.114461     2114.127654
0.000992      0.010642     0.009515     0.000000     0.114177     1979.025539
0.000994      0.010484     0.009470     0.000000     0.113636     1843.150380
0.000000      0.000000     0.000000     0.000000     0.000000     1166.159625
0.000000      0.000000     0.000000     0.000000     0.000000     1534.132913
0.000000      0.000000     0.000000     0.000000     0.000000     1776.311812
0.000000      0.000000     0.000000     0.000000     0.000000     1772.598694
0.000000      0.000000     0.000000     0.000000     0.000000     1760.097423
0.000000      0.000000     0.000000     0.000000     0.000000     1724.547430
0.000000      0.000000     0.000000     0.000000     0.000000     1678.424690
0.000000      0.000000     0.000000     0.000000     0.000000     1606.918921
0.000000      0.000000     0.000000     0.000000     0.000000     1515.480466
0.000000      0.000000     0.000000     0.000000     0.000000     1250.609492
0.000000      0.000000     0.000000     0.000000     0.000000     942.309499
