0.0890000000	 -0.0259315529
0.0890200000	 -0.0213438943
0.0890400000	 -0.0213514866
0.0890600000	 -0.0366689848
0.0890800000	 -0.0407426747
0.0891000000	 -0.0207499409
0.0891200000	 -0.0288225908
0.0891400000	 -0.0341573036
0.0891600000	 -0.0188258735
0.0891800000	 -0.0141631978
0.0892000000	 -0.0165603484
0.0892200000	 -0.0436888230
0.0892400000	 -0.0476640907
0.0892600000	 -0.0246418658
0.0892800000	 -0.0431926816
0.0893000000	 -0.0392801154
0.0893200000	 -0.0053027502
0.0893400000	 -0.0181411058
0.0893600000	 -0.0437889571
0.0893800000	 -0.0398961340
0.0894000000	 -0.0226201371
0.0894200000	 -0.0201362292
0.0894400000	 -0.0336151206
0.0894600000	 -0.0460609118
0.0894800000	 -0.0584414313
0.0895000000	 -0.0616281156
0.0895200000	 -0.0546625207
0.0895400000	 -0.0587903602
0.0895600000	 -0.0662150246
0.0895800000	 -0.0553409189
0.0896000000	 -0.0447357856
0.0896200000	 -0.0469908804
0.0896400000	 -0.0546268278
0.0896600000	 -0.0721817385
0.0896800000	 -0.0666543850
0.0897000000	 -0.0572747483
0.0897200000	 -0.0858775518
0.0897400000	 -0.0894476322
0.0897600000	 -0.0779617303
0.0897800000	 -0.0786260918
0.0898000000	 -0.0622880894
0.0898200000	 -0.0726814270
0.0898400000	 -0.0937872042
0.0898600000	 -0.1017241097
0.0898800000	 -0.1071436571
0.0899000000	 -0.0870999818
0.0899200000	 -0.0875055297
0.0899400000	 -0.0989969516
0.0899600000	 -0.0957291835
0.0899800000	 -0.0983153873
0.0900000000	 -0.0823706106
0.0900200000	 -0.0895387248
0.0900400000	 -0.0975095834
0.0900600000	 -0.0769729041
0.0900800000	 -0.0919077435
0.0901000000	 -0.0921687983
0.0901200000	 -0.0940742023
0.0901400000	 -0.1143593997
0.0901600000	 -0.0935352308
0.0901800000	 -0.1073839262
0.0902000000	 -0.1210793284
0.0902200000	 -0.0995712870
0.0902400000	 -0.1204022682
0.0902600000	 -0.1207618294
0.0902800000	 -0.1081246272
0.0903000000	 -0.1160854796
0.0903200000	 -0.1011955982
0.0903400000	 -0.1132501391
0.0903600000	 -0.1291991079
0.0903800000	 -0.1080547046
0.0904000000	 -0.1126037840
0.0904200000	 -0.1277197073
0.0904400000	 -0.1170576834
0.0904600000	 -0.1238322138
0.0904800000	 -0.1457659535
0.0905000000	 -0.1326506074
0.0905200000	 -0.1218210219
0.0905400000	 -0.1380941717
0.0905600000	 -0.1341894717
0.0905800000	 -0.1326727126
0.0906000000	 -0.1337249141
0.0906200000	 -0.1021234928
0.0906400000	 -0.0875167685
0.0906600000	 -0.1117583782
0.0906800000	 -0.1331975102
0.0907000000	 -0.1342012857
0.0907200000	 -0.1333336428
0.0907400000	 -0.1345980423
0.0907600000	 -0.1353383651
0.0907800000	 -0.1521632933
0.0908000000	 -0.1580344820
0.0908200000	 -0.1568501408
0.0908400000	 -0.1680135618
0.0908600000	 -0.1457536588
0.0908800000	 -0.1288114184
0.0909000000	 -0.1457447451
0.0909200000	 -0.1425539253
0.0909400000	 -0.1443949189
0.0909600000	 -0.1577419907
0.0909800000	 -0.1519050088
0.0910000000	 -0.1511871819
0.0910200000	 -0.1709111213
0.0910400000	 -0.1872185812
0.0910600000	 -0.1713322449
0.0910800000	 -0.1568435655
0.0911000000	 -0.1668164713
0.0911200000	 -0.1658619437
0.0911400000	 -0.1656422526
0.0911600000	 -0.1731102290
0.0911800000	 -0.1801597659
0.0912000000	 -0.1856934993
0.0912200000	 -0.1724396618
0.0912400000	 -0.1757278318
0.0912600000	 -0.1878682210
0.0912800000	 -0.1817820776
0.0913000000	 -0.2012153271
0.0913200000	 -0.2016183579
0.0913400000	 -0.1749480033
0.0913600000	 -0.1898944463
0.0913800000	 -0.1936968030
0.0914000000	 -0.1851222151
0.0914200000	 -0.2036058020
0.0914400000	 -0.2071712646
0.0914600000	 -0.2131260637
0.0914800000	 -0.2189052524
0.0915000000	 -0.2057462014
0.0915200000	 -0.2044831874
0.0915400000	 -0.1932589217
0.0915600000	 -0.1856059356
0.0915800000	 -0.2024955049
0.0916000000	 -0.2107936005
0.0916200000	 -0.2152655664
0.0916400000	 -0.2070258651
0.0916600000	 -0.1984577821
0.0916800000	 -0.2060975650
0.0917000000	 -0.1976830773
0.0917200000	 -0.1991092329
0.0917400000	 -0.2065692904
0.0917600000	 -0.2021596874
0.0917800000	 -0.2200999289
0.0918000000	 -0.2150039038
0.0918200000	 -0.1872302083
0.0918400000	 -0.2091904338
0.0918600000	 -0.2381839955
0.0918800000	 -0.2264049798
0.0919000000	 -0.2177356475
0.0919200000	 -0.2228019467
0.0919400000	 -0.2173188941
0.0919600000	 -0.2209886062
0.0919800000	 -0.2191406135
0.0920000000	 -0.2040349787
0.0920200000	 -0.2164122681
0.0920400000	 -0.2095798488
0.0920600000	 -0.2037892144
0.0920800000	 -0.2440815439
0.0921000000	 -0.2359772644
0.0921200000	 -0.2255696976
0.0921400000	 -0.2571312431
0.0921600000	 -0.2388604061
0.0921800000	 -0.2130538291
0.0922000000	 -0.2145240209
0.0922200000	 -0.2246714629
0.0922400000	 -0.2346776882
0.0922600000	 -0.2232857041
0.0922800000	 -0.2359503897
0.0923000000	 -0.2493190905
0.0923200000	 -0.2371155502
0.0923400000	 -0.2235582447
0.0923600000	 -0.1947424234
0.0923800000	 -0.2158125060
0.0924000000	 -0.2480696380
0.0924200000	 -0.2198096090
0.0924400000	 -0.2104009601
0.0924600000	 -0.2029386835
0.0924800000	 -0.2127849507
0.0925000000	 -0.2534356681
0.0925200000	 -0.2247954815
0.0925400000	 -0.1988586201
0.0925600000	 -0.2262477930
0.0925800000	 -0.2402849390
0.0926000000	 -0.2420343054
0.0926200000	 -0.2291389660
0.0926400000	 -0.2188216855
0.0926600000	 -0.2086789075
0.0926800000	 -0.2017161311
0.0927000000	 -0.2316266279
0.0927200000	 -0.2433930034
0.0927400000	 -0.2314867753
0.0927600000	 -0.2251432370
0.0927800000	 -0.2187434976
0.0928000000	 -0.2338741813
0.0928200000	 -0.2356340566
0.0928400000	 -0.2302020547
0.0928600000	 -0.2415534934
0.0928800000	 -0.2331846175
0.0929000000	 -0.2403590918
0.0929200000	 -0.2529973296
0.0929400000	 -0.2424504570
0.0929600000	 -0.2417089521
0.0929800000	 -0.2381810094
0.0930000000	 -0.2517471254
0.0930200000	 -0.2526315759
0.0930400000	 -0.2120044769
0.0930600000	 -0.2246665856
0.0930800000	 -0.2489933749
0.0931000000	 -0.2343078721
0.0931200000	 -0.2422235479
0.0931400000	 -0.2372307512
0.0931600000	 -0.2236735643
0.0931800000	 -0.2290752134
0.0932000000	 -0.2153826638
0.0932200000	 -0.2122080619
0.0932400000	 -0.2262981162
0.0932600000	 -0.2361112127
0.0932800000	 -0.2512402515
0.0933000000	 -0.2509610540
0.0933200000	 -0.2441341844
0.0933400000	 -0.2502447408
0.0933600000	 -0.2484581786
0.0933800000	 -0.2437122072
0.0934000000	 -0.2524554697
0.0934200000	 -0.2526434508
0.0934400000	 -0.2399570888
0.0934600000	 -0.2458366725
0.0934800000	 -0.2558240951
0.0935000000	 -0.2624444421
0.0935200000	 -0.2808548358
0.0935400000	 -0.2741223067
0.0935600000	 -0.2578039549
0.0935800000	 -0.2657080363
0.0936000000	 -0.2666028351
0.0936200000	 -0.2637078457
0.0936400000	 -0.2628838045
0.0936600000	 -0.2584143227
0.0936800000	 -0.2563771889
0.0937000000	 -0.2467730387
0.0937200000	 -0.2449145943
0.0937400000	 -0.2553317680
0.0937600000	 -0.2586632978
0.0937800000	 -0.2537285213
0.0938000000	 -0.2531039807
0.0938200000	 -0.2583736942
0.0938400000	 -0.2489976401
0.0938600000	 -0.2569417395
0.0938800000	 -0.2866564861
0.0939000000	 -0.2878409093
0.0939200000	 -0.2884872539
0.0939400000	 -0.2818845861
0.0939600000	 -0.2611390893
0.0939800000	 -0.2689433520
0.0940000000	 -0.2648457318
0.0940200000	 -0.2620472515
0.0940400000	 -0.2779324441
0.0940600000	 -0.2646246419
0.0940800000	 -0.2620847994
0.0941000000	 -0.2687606816
0.0941200000	 -0.2576154749
0.0941400000	 -0.2622272751
0.0941600000	 -0.2640699398
0.0941800000	 -0.2588340228
0.0942000000	 -0.2612593638
0.0942200000	 -0.2620210190
0.0942400000	 -0.2682081173
0.0942600000	 -0.2675469905
0.0942800000	 -0.2574542412
0.0943000000	 -0.2644185762
0.0943200000	 -0.2782184021
0.0943400000	 -0.2631186537
0.0943600000	 -0.2415278386
0.0943800000	 -0.2541144953
0.0944000000	 -0.2682482799
0.0944200000	 -0.2632984107
0.0944400000	 -0.2592458793
0.0944600000	 -0.2584077457
0.0944800000	 -0.2598954504
0.0945000000	 -0.2583134252
0.0945200000	 -0.2606762464
0.0945400000	 -0.2636762354
0.0945600000	 -0.2622221510
0.0945800000	 -0.2728341466
0.0946000000	 -0.2679817049
0.0946200000	 -0.2507152689
0.0946400000	 -0.2522018731
