1.000000 0.000000
0.990000 0.718545
0.980000 0.411999
0.970000 0.037242
0.960000 0.067886
0.950000 -0.444805
0.940000 -0.039220
0.930000 -0.424206
0.920000 -0.260288
0.910000 -0.310233
0.900000 -0.339610
0.890000 -0.361618
0.880000 -0.553661
0.870000 -0.304390
0.860000 -0.454087
0.850000 -0.601467
0.840000 -0.581380
0.830000 -0.385473
0.820000 -0.572861
0.810000 -0.791821
0.800000 -0.627786
0.790000 -0.584180
0.780000 -0.604443
0.770000 -0.867822
0.760000 -0.741793
0.750000 -0.768223
0.740000 -0.727869
0.730000 -0.927869
0.720000 -0.864285
0.710000 -0.890148
0.700000 -0.913060
0.690000 -1.027364
0.680000 -0.908863
0.670000 -0.994350
0.660000 -1.038623
0.650000 -1.080067
0.640000 -1.326365
0.630000 -1.044923
0.620000 -1.086405
0.610000 -1.196000
0.600000 -1.299167
0.590000 -1.461779
0.580000 -1.300561
0.570000 -1.176506
0.560000 -1.342534
0.550000 -1.528351
0.540000 -1.641634
0.530000 -1.507531
0.520000 -1.518807
0.510000 -1.406129
0.500000 -1.763300
0.490000 -1.822563
0.480000 -1.732506
0.470000 -1.765383
0.460000 -1.763760
0.450000 -1.918929
0.440000 -2.050213
0.430000 -1.980611
0.420000 -2.034330
0.410000 -2.090570
0.400000 -2.323122
0.390000 -2.184942
0.380000 -2.261399
0.370000 -2.341451
0.360000 -2.435085
0.350000 -2.902864
0.340000 -2.346458
0.330000 -2.591841
0.320000 -2.695550
0.310000 -3.018818
0.300000 -3.162243
0.290000 -2.830807
0.280000 -2.952182
0.270000 -3.167190
0.260000 -3.897857
0.250000 -3.359444
0.240000 -3.345999
0.230000 -3.446058
0.220000 -4.328066
0.210000 -3.932448
0.200000 -3.945014
0.190000 -3.907806
0.180000 -5.052315
0.170000 -4.427219
0.160000 -4.499536
0.150000 -4.881173
0.140000 -5.491411
0.130000 -4.950396
0.120000 -5.122135
0.110000 -6.606576
0.100000 -5.367400
0.090000 -5.673343
0.080000 -7.129251
0.070000 -5.718733
0.060000 -6.768726
0.050000 -6.499311
0.040000 -6.479776
0.030000 -6.348324
0.020000 -6.340044
0.010000 -5.507030
0.000000 -4.417103
0.010000 -4.092728
0.020000 -0.670662
0.030000 0.194833
0.040000 0.601555
0.050000 0.846169
0.060000 0.950291
0.070000 0.992221
0.080000 0.999498
0.090000 0.989256
0.100000 0.964160
0.110000 0.944491
0.120000 0.922363
0.130000 0.879573
0.140000 0.871159
0.150000 0.849807
0.160000 0.815030
0.170000 0.804504
0.180000 0.790490
0.190000 0.772050
0.200000 0.732724
0.210000 0.755784
0.220000 0.732252
0.230000 0.715699
0.240000 0.682454
0.250000 0.710626
0.260000 0.702332
0.270000 0.682691
0.280000 0.640739
0.290000 0.666628
0.300000 0.672817
0.310000 0.671289
0.320000 0.632574
0.330000 0.629684
0.340000 0.640945
0.350000 0.640778
0.360000 0.662124
0.370000 0.598941
0.380000 0.622759
0.390000 0.621399
0.400000 0.620548
0.410000 0.627719
0.420000 0.609143
0.430000 0.612063
0.440000 0.608866
0.450000 0.607278
0.460000 0.595159
0.470000 0.615506
0.480000 0.614368
0.490000 0.602356
0.500000 0.598099
0.510000 0.583284
0.520000 0.584952
0.530000 0.635896
0.540000 0.601209
0.550000 0.594238
0.560000 0.571798
0.570000 0.580617
0.580000 0.602188
0.590000 0.632975
0.600000 0.593810
0.610000 0.565960
0.620000 0.580437
0.630000 0.590538
0.640000 0.610832
0.650000 0.615475
0.660000 0.556889
0.670000 0.584803
0.680000 0.586639
0.690000 0.589933
0.700000 0.619926
0.710000 0.578483
0.720000 0.586003
0.730000 0.584176
0.740000 0.584516
0.750000 0.585125
0.760000 0.609653
0.770000 0.585411
0.780000 0.584277
0.790000 0.557180
0.800000 0.618239
0.810000 0.611879
0.820000 0.584812
0.830000 0.546320
0.840000 0.584976
0.850000 0.648502
0.860000 0.571313
0.870000 0.558833
0.880000 0.584458
0.890000 0.644061
0.900000 0.552554
0.910000 0.582598
0.920000 0.591800
0.930000 0.611651
0.940000 0.576780
0.950000 0.530391
0.960000 0.655679
0.970000 0.437080
0.980000 0.639743
0.990000 0.512861
1.000000 0.665057
