# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
0	0.267857	0.0006159231608
0	0.303571	0.0009479443428
0	0.339286	0.001237987388
0	0.375	0.001486865892
0	0.410714	0.001656891629
0	0.446429	0.001764561508
0	0.482143	0.001802949604
0	0.517857	0.00167587358
0	0.553571	0.001563873136
0	0.589286	0.00140329402
0	0.625	0.001210674139
0	0.660714	0.001179494191
0	0.696429	0.001055752971
0	0.732143	0.001050076538
0	0.767857	0.001087553216
0	0.803571	0
0	0.839286	0
0	0.875	0
0	0.910714	0
0	0.946429	0

2	0.267857	0.0006159231608
2	0.303571	0.0009479443428
2	0.339286	0.001237987388
2	0.375	0.001486865892
2	0.410714	0.001656891629
2	0.446429	0.001764561508
2	0.482143	0.001802949604
2	0.517857	0.00167587358
2	0.553571	0.001563873136
2	0.589286	0.00140329402
2	0.625	0.001210674139
2	0.660714	0.001179494191
2	0.696429	0.001055752971
2	0.732143	0.001050076538
2	0.767857	0.001087553216
2	0.803571	0
2	0.839286	0
2	0.875	0
2	0.910714	0
2	0.946429	0

4	0.267857	0.0006159231608
4	0.303571	0.0009479443428
4	0.339286	0.001237987388
4	0.375	0.001486865892
4	0.410714	0.001656891629
4	0.446429	0.001764561508
4	0.482143	0.001802949604
4	0.517857	0.00167587358
4	0.553571	0.001563873136
4	0.589286	0.00140329402
4	0.625	0.001210674139
4	0.660714	0.001179494191
4	0.696429	0.001055752971
4	0.732143	0.001050076538
4	0.767857	0.001087553216
4	0.803571	0
4	0.839286	0
4	0.875	0
4	0.910714	0
4	0.946429	0

6	0.267857	0.0006159231608
6	0.303571	0.0009479443428
6	0.339286	0.001237987388
6	0.375	0.001486865892
6	0.410714	0.001656891629
6	0.446429	0.001764561508
6	0.482143	0.001802949604
6	0.517857	0.00167587358
6	0.553571	0.001563873136
6	0.589286	0.00140329402
6	0.625	0.001210674139
6	0.660714	0.001179494191
6	0.696429	0.001055752971
6	0.732143	0.001050076538
6	0.767857	0.001087553216
6	0.803571	0
6	0.839286	0
6	0.875	0
6	0.910714	0
6	0.946429	0

8	0.267857	0.0006159231608
8	0.303571	0.0009479443428
8	0.339286	0.001237987388
8	0.375	0.001486865892
8	0.410714	0.001656891629
8	0.446429	0.001764561508
8	0.482143	0.001802949604
8	0.517857	0.00167587358
8	0.553571	0.001563873136
8	0.589286	0.00140329402
8	0.625	0.001210674139
8	0.660714	0.001179494191
8	0.696429	0.001055752971
8	0.732143	0.001050076538
8	0.767857	0.001087553216
8	0.803571	0
8	0.839286	0
8	0.875	0
8	0.910714	0
8	0.946429	0

10	0.267857	0.0006159231608
10	0.303571	0.0009479443428
10	0.339286	0.001237987388
10	0.375	0.001486865892
10	0.410714	0.001656891629
10	0.446429	0.001764561508
10	0.482143	0.001802949604
10	0.517857	0.00167587358
10	0.553571	0.001563873136
10	0.589286	0.00140329402
10	0.625	0.001210674139
10	0.660714	0.001179494191
10	0.696429	0.001055752971
10	0.732143	0.001050076538
10	0.767857	0.001087553216
10	0.803571	0
10	0.839286	0
10	0.875	0
10	0.910714	0
10	0.946429	0

12	0.267857	0.0006159231608
12	0.303571	0.0009479443428
12	0.339286	0.001237987388
12	0.375	0.001486865892
12	0.410714	0.001656891629
12	0.446429	0.001764561508
12	0.482143	0.001802949604
12	0.517857	0.00167587358
12	0.553571	0.001563873136
12	0.589286	0.00140329402
12	0.625	0.001210674139
12	0.660714	0.001179494191
12	0.696429	0.001055752971
12	0.732143	0.001050076538
12	0.767857	0.001087553216
12	0.803571	0
12	0.839286	0
12	0.875	0
12	0.910714	0
12	0.946429	0

14	0.267857	0.0006159231608
14	0.303571	0.0009479443428
14	0.339286	0.001237987388
14	0.375	0.001486865892
14	0.410714	0.001656891629
14	0.446429	0.001764561508
14	0.482143	0.001802949604
14	0.517857	0.00167587358
14	0.553571	0.001563873136
14	0.589286	0.00140329402
14	0.625	0.001210674139
14	0.660714	0.001179494191
14	0.696429	0.001055752971
14	0.732143	0.001050076538
14	0.767857	0.001087553216
14	0.803571	0
14	0.839286	0
14	0.875	0
14	0.910714	0
14	0.946429	0

16	0.267857	0.0006159231608
16	0.303571	0.0009479443428
16	0.339286	0.001237987388
16	0.375	0.001486865892
16	0.410714	0.001656891629
16	0.446429	0.001764561508
16	0.482143	0.001802949604
16	0.517857	0.00167587358
16	0.553571	0.001563873136
16	0.589286	0.00140329402
16	0.625	0.001210674139
16	0.660714	0.001179494191
16	0.696429	0.001055752971
16	0.732143	0.001050076538
16	0.767857	0.001087553216
16	0.803571	0
16	0.839286	0
16	0.875	0
16	0.910714	0
16	0.946429	0

18	0.267857	0.0006159231608
18	0.303571	0.0009479443428
18	0.339286	0.001237987388
18	0.375	0.001486865892
18	0.410714	0.001656891629
18	0.446429	0.001764561508
18	0.482143	0.001802949604
18	0.517857	0.00167587358
18	0.553571	0.001563873136
18	0.589286	0.00140329402
18	0.625	0.001210674139
18	0.660714	0.001179494191
18	0.696429	0.001055752971
18	0.732143	0.001050076538
18	0.767857	0.001087553216
18	0.803571	0
18	0.839286	0
18	0.875	0
18	0.910714	0
18	0.946429	0

20	0.267857	0.0006159231608
20	0.303571	0.0009479443428
20	0.339286	0.001237987388
20	0.375	0.001486865892
20	0.410714	0.001656891629
