#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000152      0.000185     0.000083     0.004123     0.000562     -865513.895417
0.001314      0.000250     0.000110     0.025287     0.000743     -174311.888962
0.001336      0.000558     0.000203     0.006866     0.001397     -132460.011834
0.001335      0.000582     0.000261     0.011487     0.001769     -121799.324199
0.001352      0.000690     0.000308     0.009757     0.002091     -111261.470534
0.001337      0.000852     0.000376     0.007581     0.002544     -167687.103818
0.001337      0.000891     0.000421     0.008288     0.002867     -90226.343132
0.001323      0.001037     0.000485     0.006911     0.003296     -75738.171161
0.001306      0.001167     0.000550     0.006167     0.003745     -64033.315262
0.001309      0.001169     0.000585     0.006809     0.004021     -56358.748879
0.001314      0.001197     0.000617     0.006974     0.004267     -50858.288267
0.001296      0.001389     0.000690     0.005607     0.004734     -46676.263825
0.001296      0.001404     0.000724     0.005860     0.005008     -43229.163901
0.001298      0.001428     0.000755     0.005978     0.005260     -40598.764826
0.001296      0.001492     0.000794     0.005769     0.005549     -38239.381836
0.001277      0.001702     0.000875     0.004751     0.006053     -36325.902683
0.001268      0.001789     0.000929     0.004549     0.006440     -34621.177468
0.001263      0.001838     0.000973     0.004528     0.006782     -32799.386387
0.001262      0.001845     0.001003     0.004672     0.007058     -31376.500753
0.001267      0.001818     0.001019     0.004942     0.007262     -25539.138547
0.001263      0.001883     0.001060     0.004785     0.007572     -30796.561643
0.001275      0.001807     0.001053     0.005240     0.007659     -31375.488273
0.001271      0.001895     0.001098     0.004948     0.007956     -32159.280907
0.001248      0.002175     0.001207     0.004021     0.008564     -33108.214561
0.001235      0.002336     0.001281     0.003653     0.009051     -33853.389209
0.001223      0.002484     0.001354     0.003376     0.009541     -39261.521966
0.001215      0.002571     0.001411     0.003265     0.009965     -35189.759118
0.001212      0.002588     0.001446     0.003310     0.010295     -33679.908212
0.001209      0.002612     0.001483     0.003334     0.010630     -33263.586582
0.001207      0.002626     0.001515     0.003371     0.010948     -33213.804798
0.001206      0.002632     0.001543     0.003419     0.011247     -36653.959014
0.001206      0.002631     0.001566     0.003478     0.011526     -34858.558519
0.001207      0.002617     0.001583     0.003559     0.011774     -31188.460098
0.001211      0.002585     0.001591     0.003677     0.011979     -29949.286233
0.001216      0.002544     0.001593     0.003813     0.012153     -28933.908936
0.001237      0.002340     0.001523     0.004365     0.012025     -28185.771240
0.001215      0.002631     0.001655     0.003697     0.012672     -27595.717232
0.001204      0.002786     0.001733     0.003424     0.013143     -27128.955351
0.001195      0.002924     0.001804     0.003213     0.013603     -26759.712218
0.001189      0.003020     0.001860     0.003091     0.014012     -26493.465959
0.001185      0.003085     0.001905     0.003024     0.014381     -26248.104029
0.001181      0.003143     0.001948     0.002968     0.014745     -26132.820002
0.001178      0.003190     0.001987     0.002969     0.015090     -26074.447491
0.001176      0.003228     0.002021     0.002983     0.015418     -26104.753859
0.001175      0.003254     0.002050     0.003011     0.015722     -26203.473910
0.001175      0.003270     0.002075     0.003050     0.016002     -26701.373789
0.001176      0.003267     0.002091     0.003112     0.016244     -26641.113349
0.001178      0.003241     0.002096     0.003204     0.016437     -26925.639729
0.001186      0.003155     0.002073     0.003383     0.016514     -27567.266390
0.001171      0.003398     0.002192     0.003100     0.017155     -28151.511832
0.001164      0.003524     0.002262     0.002996     0.017625     -33813.714611
0.001158      0.003640     0.002328     0.002913     0.018079     -28833.348626
0.001153      0.003737     0.002386     0.002854     0.018502     -27345.368328
0.001149      0.003820     0.002438     0.002812     0.018902     -26472.771710
0.001144      0.003916     0.002496     0.002759     0.019327     -25969.269068
0.001140      0.003999     0.002548     0.002722     0.019727     -25595.961366
0.001136      0.004075     0.002598     0.002692     0.020117     -25425.904460
0.001133      0.004145     0.002645     0.002668     0.020496     -25313.530174
0.001130      0.004210     0.002689     0.002650     0.020864     -25387.813387
0.001128      0.004268     0.002731     0.002637     0.021220     -25339.263654
0.001126      0.004323     0.002772     0.002627     0.021569     -25798.435100
0.001124      0.004373     0.002809     0.002621     0.021905     -27047.072859
0.001122      0.004417     0.002845     0.002620     0.022230     -28329.625431
0.001121      0.004454     0.002877     0.002623     0.022539     -35655.945651
0.001120      0.004484     0.002905     0.002632     0.022831     -27561.946770
0.001120      0.004502     0.002928     0.002649     0.023099     -26576.254797
0.001120      0.004510     0.002946     0.002675     0.023340     -25513.277081
0.001123      0.004472     0.002943     0.002736     0.023488     -24866.563396
0.001122      0.004507     0.002972     0.002738     0.023767     -24446.274291
0.001115      0.004677     0.003062     0.002632     0.024308     -24135.957308
0.001111      0.004785     0.003124     0.002580     0.024734     -23935.702697
0.001107      0.004874     0.003178     0.002544     0.025127     -23858.139109
0.001105      0.004938     0.003221     0.002526     0.025473     -23257.694233
0.001104      0.004980     0.003254     0.002523     0.025778     -23936.871332
0.001094      0.005227     0.003377     0.002386     0.026473     -25505.803195
0.001088      0.005406     0.003471     0.002302     0.027047     -26739.318072
0.001081      0.005584     0.003564     0.002225     0.027622     -31802.719010
0.001075      0.005756     0.003654     0.002155     0.028191     -31905.757382
0.001070      0.005925     0.003743     0.002092     0.028757     -27974.004452
0.001063      0.006147     0.003853     0.002007     0.029421     -29058.131763
0.001062      0.006155     0.003876     0.002026     0.029703     -27353.269162
0.001060      0.006216     0.003920     0.002020     0.030078     -26753.443415
0.001058      0.006276     0.003964     0.002014     0.030450     -26932.767666
0.001056      0.006341     0.004010     0.002006     0.030833     -27461.546493
0.001054      0.006407     0.004056     0.001997     0.031218     -31320.637441
0.001052      0.006472     0.004102     0.001989     0.031600     -30884.848068
0.001050      0.006537     0.004147     0.001981     0.031983     -29878.267133
0.001048      0.006597     0.004191     0.001975     0.032357     -28586.844408
0.001047      0.006655     0.004234     0.001971     0.032726     -32536.330902
0.001045      0.006705     0.004273     0.001969     0.033081     -31098.850394
0.001044      0.006744     0.004308     0.001971     0.033415     -29582.932565
0.001044      0.006765     0.004334     0.001981     0.033712     -31981.259310
0.001043      0.006784     0.004360     0.001991     0.034003     -34419.841119
0.001048      0.006612     0.004301     0.002081     0.033926     -33234.043375
0.001029      0.007302     0.004616     0.001829     0.035479     -36383.768744
0.001017      0.007782     0.004833     0.001685     0.036627     -35507.949513
0.001005      0.008299     0.005060     0.001548     0.037833     -34968.383556
0.000994      0.008815     0.005281     0.001428     0.039024     -36954.459106
