#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001241      0.000205     0.000092     0.032945     0.000624     -160739.142268
0.001242      0.000632     0.000204     0.003696     0.001444     12348.947133
0.001242      0.000604     0.000251     0.009499     0.001703     -7049.859034
0.001264      0.000699     0.000290     0.008299     0.001966     -11914.608379
0.001256      0.000841     0.000349     0.006856     0.002368     -16780.738525
0.001258      0.000875     0.000395     0.007926     0.002677     -20649.620925
0.001255      0.000981     0.000447     0.007216     0.003036     -23645.339861
0.001238      0.001153     0.000519     0.005889     0.003517     -25736.621648
0.001241      0.001149     0.000555     0.006751     0.003789     -27712.508231
0.001258      0.001125     0.000572     0.007559     0.003940     -29418.639524
0.001241      0.001353     0.000647     0.005637     0.004414     -30733.580722
0.001236      0.001419     0.000695     0.005565     0.004756     -32281.948368
0.001244      0.001392     0.000716     0.006148     0.004948     -33996.265166
0.001249      0.001422     0.000743     0.006193     0.005164     -35680.594105
0.001233      0.001635     0.000820     0.005003     0.005639     -38837.198547
0.001222      0.001763     0.000882     0.004584     0.006062     -42525.326305
0.001215      0.001835     0.000933     0.004485     0.006431     -40484.041355
0.001212      0.001873     0.000974     0.004526     0.006753     -46542.066248
0.001212      0.001884     0.001004     0.004663     0.007021     -49140.896481
0.001215      0.001874     0.001025     0.004860     0.007236     -38105.885739
0.001230      0.001777     0.001013     0.005453     0.007279     -35680.333882
0.001232      0.001835     0.001044     0.005272     0.007493     -33616.610558
0.001215      0.002068     0.001131     0.004403     0.007982     -32194.999888
0.001207      0.002190     0.001190     0.004096     0.008375     -31231.076863
0.001198      0.002326     0.001255     0.003791     0.008809     -30395.594855
0.001191      0.002417     0.001309     0.003644     0.009200     -29779.514842
0.001186      0.002486     0.001357     0.003564     0.009569     -29270.586423
0.001182      0.002539     0.001401     0.003524     0.009919     -28981.336107
0.001178      0.002578     0.001440     0.003513     0.010249     -28693.759912
0.001177      0.002605     0.001475     0.003526     0.010557     -28498.480885
0.001176      0.002623     0.001505     0.003554     0.010846     -28480.332112
0.001176      0.002630     0.001530     0.003602     0.011110     -28453.976057
0.001177      0.002625     0.001549     0.003670     0.011345     -28547.778504
0.001181      0.002599     0.001559     0.003782     0.011534     -28713.808029
0.001185      0.002566     0.001564     0.003907     0.011691     -29084.821582
0.001205      0.002374     0.001502     0.004447     0.011561     -29569.472050
0.001185      0.002664     0.001626     0.003766     0.012161     -30173.235364
0.001177      0.002803     0.001693     0.003518     0.012575     -32771.031342
0.001172      0.002903     0.001747     0.003369     0.012945     -31423.075751
0.001164      0.003032     0.001812     0.003183     0.013371     -32083.089224
0.001158      0.003146     0.001873     0.003039     0.013788     -37450.907836
0.001152      0.003240     0.001928     0.002936     0.014186     -34855.624380
0.001148      0.003320     0.001979     0.002857     0.014571     -30606.400563
0.001144      0.003390     0.002026     0.002797     0.014947     -29278.989506
0.001140      0.003452     0.002071     0.002749     0.015317     -28227.673224
0.001137      0.003505     0.002113     0.002713     0.015677     -27468.522411
0.001134      0.003552     0.002153     0.002685     0.016031     -26956.431918
0.001132      0.003593     0.002191     0.002664     0.016379     -26514.362779
0.001130      0.003629     0.002226     0.002649     0.016720     -26201.416360
0.001128      0.003659     0.002260     0.002660     0.017054     -25979.089018
0.001127      0.003685     0.002291     0.002688     0.017375     -25839.981152
0.001126      0.003705     0.002319     0.002719     0.017682     -25778.149091
0.001125      0.003721     0.002344     0.002754     0.017975     -25794.828557
0.001125      0.003727     0.002365     0.002796     0.018246     -25872.995116
0.001126      0.003723     0.002381     0.002848     0.018491     -26097.939751
0.001128      0.003707     0.002391     0.002912     0.018707     -26366.017362
0.001133      0.003642     0.002378     0.003030     0.018829     -26784.273047
0.001134      0.003645     0.002393     0.003070     0.019046     -27363.562494
0.001125      0.003827     0.002487     0.002912     0.019598     -28406.219068
0.001120      0.003933     0.002548     0.002844     0.020026     -29904.875758
0.001117      0.004000     0.002593     0.002818     0.020384     -29967.023633
0.001111      0.004142     0.002670     0.002722     0.020881     -31135.438861
0.001106      0.004250     0.002732     0.002664     0.021319     -40499.644855
0.001102      0.004349     0.002791     0.002615     0.021743     -30305.894292
0.001098      0.004441     0.002847     0.002575     0.022156     -29106.210989
0.001095      0.004525     0.002900     0.002542     0.022556     -27747.109137
0.001092      0.004604     0.002950     0.002514     0.022946     -26989.553169
0.001089      0.004679     0.002999     0.002490     0.023328     -26461.777862
0.001086      0.004750     0.003046     0.002469     0.023706     -26154.858857
0.001084      0.004817     0.003091     0.002452     0.024073     -25969.978484
0.001082      0.004879     0.003134     0.002438     0.024432     -25998.470160
