#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000711      0.000193     0.000087     0.023021     0.000588     32949.850981
0.001705      0.000367     0.000153     0.024874     0.001039     30771.432838
0.001690      0.000655     0.000232     0.008458     0.001606     14745.381320
0.001669      0.000726     0.000286     0.010600     0.001949     7539.947438
0.001652      0.000827     0.000343     0.010488     0.002323     12931.722494
0.001614      0.000994     0.000421     0.008966     0.002850     1762.014989
0.001592      0.001063     0.000485     0.009685     0.003292     -11414.141631
0.001563      0.001220     0.000562     0.008444     0.003819     -17141.739887
0.001530      0.001413     0.000650     0.007121     0.004415     -36756.221426
0.001518      0.001441     0.000704     0.007699     0.004817     -22175.006771
0.001517      0.001446     0.000742     0.008276     0.005131     -21553.269527
0.001486      0.001700     0.000839     0.006494     0.005751     -21042.783030
0.001480      0.001723     0.000884     0.006764     0.006108     -21332.178521
0.001471      0.001795     0.000937     0.006617     0.006502     -21979.770592
0.001464      0.001864     0.000987     0.006472     0.006882     -26086.009425
0.001437      0.002129     0.001090     0.005304     0.007529     -26855.176484
0.001423      0.002247     0.001160     0.005033     0.008030     -20807.249075
0.001413      0.002319     0.001218     0.004964     0.008474     -19471.059547
0.001410      0.002313     0.001253     0.005175     0.008805     -18313.371229
0.001405      0.002353     0.001297     0.005184     0.009179     -17570.208804
0.001395      0.002452     0.001358     0.004968     0.009628     -16949.978583
0.001396      0.002427     0.001379     0.005182     0.009897     -16455.925945
0.001390      0.002498     0.001429     0.005051     0.010285     -16027.484688
0.001371      0.002735     0.001532     0.004437     0.010918     -15578.938006
0.001359      0.002868     0.001604     0.004189     0.011424     -15250.136794
0.001350      0.002970     0.001668     0.004037     0.011895     -13164.857250
0.001344      0.003036     0.001720     0.003971     0.012319     -15136.017744
0.001340      0.003074     0.001763     0.003966     0.012702     -15865.460838
0.001339      0.003070     0.001790     0.004044     0.013020     -16492.501398
0.001340      0.003041     0.001808     0.004168     0.013292     -17301.223314
0.001326      0.003231     0.001900     0.003840     0.013880     -18082.333775
0.001319      0.003322     0.001959     0.003727     0.014335     -22867.214661
0.001314      0.003390     0.002010     0.003658     0.014760     -17857.412573
0.001313      0.003391     0.002037     0.003705     0.015084     -17298.785801
0.001305      0.003505     0.002105     0.003559     0.015576     -16668.025473
0.001297      0.003623     0.002174     0.003420     0.016080     -16289.226460
0.001291      0.003700     0.002229     0.003348     0.016527     -16021.039430
0.001287      0.003749     0.002274     0.003316     0.016936     -15797.872330
0.001285      0.003778     0.002310     0.003345     0.017311     -15645.782683
0.001288      0.003718     0.002312     0.003508     0.017544     -15542.580961
0.001280      0.003849     0.002386     0.003403     0.018057     -15112.046691
0.001268      0.004048     0.002487     0.003223     0.018690     -15421.829992
0.001260      0.004190     0.002568     0.003131     0.019267     -15890.389925
0.001253      0.004303     0.002638     0.003075     0.019798     -16250.480410
0.001246      0.004423     0.002710     0.003015     0.020338     -16772.228912
0.001240      0.004527     0.002777     0.002973     0.020852     -17490.527371
0.001236      0.004614     0.002837     0.002948     0.021337     -20504.782623
0.001231      0.004690     0.002892     0.002934     0.021800     -17180.035921
0.001228      0.004750     0.002941     0.002933     0.022234     -16840.082462
0.001225      0.004798     0.002984     0.002944     0.022642     -16444.613601
0.001224      0.004822     0.003017     0.002973     0.023005     -16272.746499
0.001223      0.004836     0.003046     0.003009     0.023344     -16159.177485
0.001228      0.004722     0.003019     0.003161     0.023441     -16158.293229
0.001214      0.005016     0.003164     0.002945     0.024273     -16199.085553
0.001205      0.005226     0.003272     0.002819     0.024957     -16363.870983
0.001197      0.005418     0.003373     0.002717     0.025611     -16666.378387
0.001190      0.005591     0.003466     0.002634     0.026235     -16770.372313
0.001183      0.005760     0.003558     0.002560     0.026854     -17138.845971
0.001177      0.005902     0.003639     0.002507     0.027426     -18442.019201
0.001174      0.005984     0.003696     0.002494     0.027893     -19172.799724
0.001170      0.006073     0.003756     0.002476     0.028372     -17403.774612
0.001167      0.006154     0.003812     0.002462     0.028838     -17237.475353
0.001164      0.006226     0.003865     0.002454     0.029286     -17142.148376
