#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.001478      0.000306     0.000137     0.042214     0.000931     64862.150870
0.001622      0.000735     0.000264     0.010648     0.001823     32080.558584
0.001706      0.000651     0.000290     0.022675     0.001966     15862.349774
0.001770      0.000780     0.000328     0.017231     0.002221     6970.729773
0.001790      0.000871     0.000375     0.016476     0.002539     1017.596530
0.001739      0.001187     0.000476     0.009879     0.003234     -3232.890375
0.001752      0.001073     0.000507     0.015766     0.003452     -10801.370155
0.001731      0.001289     0.000585     0.012035     0.003969     -7363.720280
0.001693      0.001545     0.000682     0.009284     0.004620     -10669.841799
0.001696      0.001478     0.000717     0.011566     0.004896     -8433.520997
0.001719      0.001396     0.000723     0.013768     0.005013     -8164.226298
0.001674      0.001809     0.000847     0.008791     0.005760     -8139.463828
0.001660      0.001900     0.000910     0.008644     0.006209     -8229.414503
0.001670      0.001796     0.000923     0.010265     0.006382     -8366.899217
0.001671      0.001832     0.000959     0.010335     0.006661     -8530.364726
0.001628      0.002281     0.001099     0.007117     0.007497     -8711.282248
0.001604      0.002512     0.001194     0.006230     0.008136     -8908.419707
0.001585      0.002673     0.001279     0.005846     0.008718     -9126.092771
0.001572      0.002745     0.001345     0.005875     0.009203     -9371.943019
0.001566      0.002747     0.001392     0.006168     0.009593     -9683.591653
0.001565      0.002693     0.001420     0.006661     0.009892     -10014.214562
0.001584      0.002468     0.001387     0.007979     0.009900     -11245.916567
0.001580      0.002528     0.001430     0.007832     0.010238     -11338.746986
0.001550      0.002901     0.001570     0.006335     0.011029     -10113.116875
0.001531      0.003146     0.001673     0.005640     0.011683     -9867.072140
0.001513      0.003380     0.001774     0.005098     0.012343     -9158.148292
0.001500      0.003536     0.001857     0.004832     0.012916     -9645.840889
0.001491      0.003637     0.001925     0.004718     0.013424     -9900.930740
0.001484      0.003687     0.001979     0.004724     0.013864     -10116.846283
0.001481      0.003686     0.002017     0.004833     0.014233     -10372.047774
0.001485      0.003572     0.002018     0.005198     0.014431     -10653.188827
0.001482      0.003598     0.002057     0.005225     0.014804     -11573.575700
0.001466      0.003849     0.002169     0.004748     0.015496     -11873.072550
0.001450      0.004112     0.002284     0.004320     0.016217     -10617.267909
0.001439      0.004282     0.002372     0.004103     0.016821     -10723.284681
0.001430      0.004404     0.002446     0.003979     0.017366     -10876.600627
0.001428      0.004401     0.002482     0.004047     0.017739     -11030.590139
0.001414      0.004639     0.002592     0.003762     0.018448     -11258.222998
0.001402      0.004852     0.002695     0.003541     0.019131     -11644.354047
0.001388      0.005150     0.002823     0.003249     0.019936     -12902.537141
0.001377      0.005366     0.002928     0.003075     0.020638     -11614.529497
0.001367      0.005543     0.003022     0.002953     0.021294     -11573.295295
0.001359      0.005682     0.003106     0.002873     0.021903     -11567.938565
0.001354      0.005733     0.003164     0.002871     0.022397     -11645.671965
0.001345      0.005940     0.003269     0.002742     0.023116     -11851.838799
0.001335      0.006147     0.003378     0.002626     0.023878     -12063.767872
0.001320      0.006519     0.003539     0.002410     0.024891     -13432.244745
0.001309      0.006806     0.003673     0.002300     0.025780     -12588.745744
0.001298      0.007066     0.003799     0.002217     0.026631     -12569.985016
0.001289      0.007297     0.003917     0.002156     0.027444     -12245.943580
0.001282      0.007482     0.004022     0.002123     0.028191     -12280.107436
0.001273      0.007713     0.004140     0.002068     0.029007     -12407.721581
0.001266      0.007908     0.004248     0.002034     0.029774     -12609.088561
0.001252      0.008416     0.004447     0.001866     0.030996     -13604.982811
0.001241      0.008826     0.004616     0.001756     0.032072     -13445.144034
0.001230      0.009228     0.004782     0.001660     0.033136     -13751.160951
0.001221      0.009611     0.004942     0.001579     0.034171     -12954.323764
0.001212      0.009982     0.005097     0.001509     0.035189     -12925.818318
0.001203      0.010347     0.005252     0.001447     0.036200     -12999.678036
0.001196      0.010630     0.005385     0.001411     0.037100     -13175.886790
0.001185      0.011275     0.005609     0.001288     0.038490     -13957.742199
0.001174      0.011886     0.005820     0.001187     0.039824     -14100.442312
0.001165      0.012494     0.006028     0.001099     0.041146     -14860.702822
0.001155      0.013106     0.006233     0.001019     0.042463     -13767.134094
0.001147      0.013725     0.006437     0.000947     0.043784     -13818.665868
0.001139      0.014338     0.006638     0.000883     0.045089     -13980.682159
0.001132      0.014852     0.006816     0.000839     0.046268     -14804.792035
0.001123      0.015623     0.007043     0.000766     0.047753     -15818.126897
0.001114      0.016550     0.007293     0.000684     0.049406     -15362.322487
0.001106      0.017461     0.007533     0.000615     0.051020     -14125.385784
0.001098      0.018396     0.007769     0.000552     0.052640     -13900.513123
0.001091      0.019352     0.008002     0.000494     0.054265     -13820.825422
0.001084      0.020333     0.008232     0.000442     0.055896     -13900.516420
0.001078      0.021332     0.008457     0.000395     0.057527     -14141.584559
0.001072      0.022221     0.008663     0.000360     0.059031     -14802.187002
0.001067      0.023175     0.008872     0.000325     0.060588     -15348.563052
0.001062      0.024133     0.009077     0.000293     0.062136     -17478.386758
0.001056      0.025331     0.009298     0.000254     0.063894     -17273.266037
0.001051      0.026728     0.009526     0.000213     0.065807     -15082.909097
0.001046      0.028114     0.009740     0.000177     0.067676     -14772.863272
0.001042      0.029532     0.009944     0.000145     0.069540     -14632.702550
0.001038      0.030977     0.010138     0.000116     0.071395     -14756.930372
0.001034      0.032450     0.010321     0.000089     0.073242     -15248.314690
0.001031      0.033952     0.010494     0.000069     0.075080     -15893.962397
0.001028      0.035481     0.010655     0.000054     0.076910     -18896.059256
0.001025      0.037037     0.010804     0.000039     0.078720     -18067.934176
0.001023      0.038608     0.010922     0.000026     0.080424     -16456.616966
0.001022      0.040201     0.011025     0.000015     0.082094     -16558.235640
0.001020      0.041819     0.011124     0.000005     0.083792     -19932.370004
0.001018      0.043469     0.011224     -0.000003     0.085544     -17891.342991
0.001017      0.045145     0.011328     -0.000009     0.087353     -16789.560326
0.001015      0.047139     0.011425     -0.000016     0.089416     -18787.858702
0.001014      0.049038     0.011532     -0.000021     0.091463     -20197.797362
0.001013      0.051414     0.011631     -0.000025     0.093901     -18121.280915
0.001011      0.053698     0.011739     -0.000028     0.096322     -21167.495129
0.001010      0.055984     0.011850     -0.000030     0.098783     -20466.251604
0.001008      0.058262     0.011966     -0.000031     0.101272     -19314.080005
0.001007      0.060527     0.012085     -0.000031     0.103778     -16450.331272
