#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000817      0.000189     0.000085     0.022240     0.000573     -899440.595267
0.000920      0.000565     0.000200     0.004308     0.001382     -168153.905493
0.000983      0.000500     0.000225     0.010150     0.001524     -124567.520413
0.001043      0.000612     0.000255     0.007426     0.001727     -113841.894894
0.001059      0.000744     0.000297     0.005596     0.002020     -103204.774684
0.001083      0.000764     0.000321     0.006285     0.002173     -162328.593212
0.001091      0.000894     0.000357     0.004776     0.002426     -81765.140310
0.001091      0.000991     0.000396     0.004314     0.002690     -66981.647107
0.001104      0.000957     0.000418     0.005600     0.002830     -55091.777539
0.001120      0.000962     0.000440     0.006197     0.002986     -47383.073020
0.001113      0.001123     0.000498     0.004953     0.003371     -41914.735843
0.001120      0.001113     0.000527     0.005715     0.003591     -37796.196267
0.001130      0.001131     0.000553     0.006000     0.003785     -34423.463748
0.001137      0.001190     0.000586     0.005790     0.004012     -31878.947887
0.001125      0.001378     0.000653     0.004642     0.004445     -29602.016197
0.001121      0.001442     0.000699     0.004603     0.004778     -27772.075193
0.001121      0.001477     0.000737     0.004709     0.005063     -26146.555205
0.001126      0.001482     0.000763     0.004936     0.005281     -24394.774676
0.001135      0.001465     0.000777     0.005249     0.005424     -23041.909284
0.001137      0.001538     0.000812     0.004979     0.005662     -17210.409862
0.001153      0.001477     0.000808     0.005511     0.005702     -22619.752629
0.001154      0.001569     0.000845     0.005084     0.005924     -23268.599624
0.001136      0.001835     0.000934     0.003955     0.006442     -24113.197156
0.001127      0.001972     0.000997     0.003609     0.006863     -25111.898653
0.001117      0.002092     0.001058     0.003381     0.007289     -25894.913196
0.001112      0.002153     0.001107     0.003349     0.007655     -31341.958935
0.001111      0.002149     0.001138     0.003493     0.007933     -27269.113919
0.001110      0.002157     0.001168     0.003584     0.008210     -25769.915825
0.001111      0.002163     0.001195     0.003669     0.008468     -25361.929338
0.001113      0.002167     0.001219     0.003748     0.008703     -25315.912699
0.001115      0.002168     0.001239     0.003825     0.008914     -28731.914652
0.001119      0.002161     0.001254     0.003916     0.009093     -26934.073380
0.001125      0.002140     0.001261     0.004044     0.009226     -23285.306648
0.001132      0.002114     0.001264     0.004181     0.009325     -22051.009036
0.001156      0.001934     0.001203     0.004851     0.009129     -21038.518340
0.001137      0.002224     0.001315     0.003946     0.009638     -20289.670196
0.001129      0.002375     0.001380     0.003598     0.010012     -19695.582832
0.001122      0.002506     0.001440     0.003348     0.010386     -19221.266955
0.001117      0.002592     0.001487     0.003218     0.010716     -18840.814854
0.001115      0.002646     0.001524     0.003160     0.011010     -18559.023989
0.001113      0.002694     0.001560     0.003117     0.011299     -18295.261421
0.001112      0.002729     0.001591     0.003099     0.011571     -18155.685905
0.001111      0.002755     0.001620     0.003094     0.011832     -18068.407550
0.001111      0.002769     0.001644     0.003109     0.012073     -18063.838114
0.001113      0.002774     0.001663     0.003140     0.012296     -18121.845194
0.001115      0.002762     0.001675     0.003199     0.012485     -18560.879543
0.001119      0.002728     0.001678     0.003296     0.012630     -18456.499739
0.001128      0.002636     0.001656     0.003507     0.012663     -18680.285453
0.001115      0.002858     0.001754     0.003127     0.013181     -19240.959466
0.001110      0.002966     0.001811     0.002983     0.013550     -19740.731714
0.001105      0.003061     0.001863     0.002869     0.013913     -25074.778962
0.001101      0.003137     0.001909     0.002791     0.014255     -20246.194950
0.001099      0.003197     0.001950     0.002737     0.014582     -18759.349269
0.001095      0.003269     0.001995     0.002670     0.014932     -17859.134565
0.001092      0.003326     0.002036     0.002625     0.015265     -17308.724288
0.001090      0.003377     0.002074     0.002589     0.015593     -16879.915984
0.001088      0.003421     0.002110     0.002562     0.015915     -16640.164589
0.001086      0.003460     0.002145     0.002540     0.016231     -16451.249192
0.001085      0.003492     0.002176     0.002535     0.016540     -16432.922328
0.001084      0.003522     0.002207     0.002553     0.016842     -16295.149170
0.001083      0.003548     0.002235     0.002573     0.017132     -16624.509034
0.001082      0.003569     0.002261     0.002597     0.017410     -17675.758042
0.001082      0.003585     0.002284     0.002624     0.017673     -18745.452124
0.001082      0.003595     0.002304     0.002656     0.017920     -25351.043451
0.001083      0.003596     0.002319     0.002697     0.018144     -17766.548729
0.001085      0.003587     0.002329     0.002747     0.018343     -16732.434855
0.001090      0.003536     0.002320     0.002842     0.018461     -15627.325372
0.001090      0.003550     0.002338     0.002863     0.018674     -14901.680402
0.001084      0.003690     0.002413     0.002751     0.019123     -14378.527947
0.001081      0.003769     0.002460     0.002710     0.019475     -13950.245938
0.001079      0.003830     0.002500     0.002686     0.019795     -13615.189945
0.001078      0.003866     0.002529     0.002686     0.020067     -13382.364944
0.001079      0.003879     0.002548     0.002708     0.020293     -12677.813237
0.001069      0.004081     0.002650     0.002558     0.020872     -13098.856592
0.001064      0.004216     0.002723     0.002477     0.021337     -14281.244957
0.001058      0.004348     0.002795     0.002403     0.021803     -15141.414322
0.001053      0.004475     0.002865     0.002338     0.022263     -19291.671206
0.001048      0.004598     0.002933     0.002280     0.022721     -19077.383131
0.001041      0.004773     0.003023     0.002191     0.023276     -15393.151193
0.001043      0.004748     0.003029     0.002236     0.023473     -16007.406734
0.001042      0.004775     0.003057     0.002246     0.023757     -14228.225881
0.001042      0.004800     0.003083     0.002257     0.024036     -13377.875711
0.001041      0.004830     0.003112     0.002264     0.024321     -13154.651862
0.001040      0.004861     0.003140     0.002270     0.024605     -13184.934035
0.001040      0.004888     0.003167     0.002277     0.024881     -15865.122629
0.001039      0.004916     0.003193     0.002284     0.025153     -14962.053673
0.001039      0.004937     0.003216     0.002295     0.025411     -13562.282376
0.001039      0.004953     0.003237     0.002308     0.025656     -11908.172848
0.001040      0.004961     0.003254     0.002327     0.025881     -14222.244649
0.001041      0.004954     0.003264     0.002353     0.026073     -12244.705313
0.001043      0.004925     0.003263     0.002394     0.026214     -10149.434342
0.001045      0.004885     0.003255     0.002442     0.026325     -10757.557054
0.001057      0.004644     0.003152     0.002631     0.026019     -11025.648446
0.001036      0.005177     0.003410     0.002300     0.027240     -8433.414949
0.001025      0.005486     0.003561     0.002146     0.028037     -8126.733004
0.001014      0.005807     0.003715     0.002003     0.028862     -4449.945275
0.001006      0.006094     0.003853     0.001890     0.029628     970.650119
0.001015      0.005809     0.003748     0.002042     0.029342     5080.216159
