#SuctionSide: Uedge      dStar     theta     tau     delta     dp/dx
0.000176      0.000194     0.000087     0.004771     0.000589     -256686.700198
0.001478      0.000259     0.000114     0.028855     0.000771     -38285.069577
0.001463      0.000607     0.000216     0.006751     0.001494     -41484.643941
0.001446      0.000619     0.000280     0.012539     0.001902     -37428.155048
0.001459      0.000721     0.000330     0.011029     0.002236     -37733.907521
0.001429      0.000930     0.000408     0.007704     0.002762     -38896.670005
0.001428      0.000944     0.000452     0.008993     0.003084     -40237.100823
0.001404      0.001129     0.000527     0.007059     0.003584     -51164.642151
0.001379      0.001290     0.000604     0.006105     0.004108     -42462.533265
0.001384      0.001241     0.000631     0.007291     0.004355     -40409.481193
0.001381      0.001303     0.000674     0.007101     0.004671     -48364.175109
0.001359      0.001510     0.000755     0.005732     0.005190     -40601.801612
0.001352      0.001565     0.000803     0.005720     0.005549     -34186.188015
0.001363      0.001489     0.000809     0.006565     0.005696     -31532.035423
0.001351      0.001637     0.000874     0.005770     0.006108     -29596.380804
0.001329      0.001858     0.000961     0.004792     0.006657     -28172.563019
0.001317      0.001966     0.001023     0.004527     0.007100     -27163.968787
0.001309      0.002031     0.001075     0.004460     0.007498     -26293.640370
0.001304      0.002057     0.001115     0.004527     0.007839     -25622.847524
0.001304      0.002056     0.001144     0.004680     0.008125     -25088.057982
0.001314      0.001968     0.001140     0.005160     0.008254     -24641.734842
0.001312      0.002015     0.001175     0.005069     0.008540     -24362.078964
0.001305      0.002115     0.001228     0.004783     0.008903     -24091.188576
0.001287      0.002330     0.001320     0.004164     0.009454     -23889.055926
0.001277      0.002453     0.001385     0.003908     0.009901     -23819.026665
0.001269      0.002551     0.001442     0.003743     0.010324     -22849.812040
0.001263      0.002620     0.001492     0.003656     0.010714     -24495.589598
0.001259      0.002669     0.001535     0.003617     0.011077     -26310.068784
0.001256      0.002700     0.001572     0.003615     0.011415     -30276.818031
0.001255      0.002709     0.001600     0.003656     0.011716     -24945.454555
0.001255      0.002702     0.001621     0.003726     0.011985     -24137.147312
0.001263      0.002614     0.001609     0.003977     0.012115     -23381.224495
0.001256      0.002717     0.001667     0.003792     0.012523     -22865.008191
0.001254      0.002755     0.001701     0.003756     0.012837     -22484.982903
0.001244      0.002885     0.001770     0.003540     0.013295     -22260.923841
0.001236      0.003007     0.001837     0.003359     0.013753     -22073.871929
0.001230      0.003095     0.001892     0.003249     0.014169     -21963.718982
0.001225      0.003163     0.001940     0.003177     0.014560     -21973.399655
0.001222      0.003212     0.001980     0.003138     0.014925     -22016.591020
0.001220      0.003243     0.002014     0.003159     0.015263     -22151.677735
0.001219      0.003256     0.002040     0.003212     0.015566     -22472.936794
0.001223      0.003206     0.002039     0.003358     0.015758     -22931.225147
0.001218      0.003287     0.002090     0.003303     0.016145     -23588.496010
0.001211      0.003415     0.002159     0.003185     0.016605     -27243.866739
0.001202      0.003551     0.002235     0.003071     0.017115     -23054.341852
0.001196      0.003665     0.002302     0.002993     0.017598     -22514.917057
0.001190      0.003762     0.002361     0.002940     0.018051     -21959.019639
0.001185      0.003846     0.002416     0.002903     0.018482     -21630.461495
0.001181      0.003920     0.002467     0.002877     0.018895     -21457.590870
0.001178      0.003985     0.002514     0.002861     0.019290     -21343.553628
0.001175      0.004040     0.002556     0.002854     0.019666     -21327.794785
0.001173      0.004088     0.002595     0.002855     0.020026     -21397.196962
0.001171      0.004124     0.002629     0.002866     0.020360     -21564.830187
0.001170      0.004145     0.002656     0.002890     0.020663     -21854.819854
0.001170      0.004157     0.002679     0.002921     0.020943     -22386.402934
0.001175      0.004073     0.002658     0.003047     0.021033     -23385.562194
0.001165      0.004287     0.002767     0.002879     0.021675     -24404.452555
0.001158      0.004428     0.002845     0.002791     0.022189     -24927.902686
0.001152      0.004555     0.002917     0.002720     0.022680     -22681.914009
0.001147      0.004671     0.002984     0.002662     0.023151     -22293.715487
0.001143      0.004774     0.003046     0.002617     0.023602     -22063.394755
0.001139      0.004868     0.003104     0.002580     0.024038     -22002.352872
0.001135      0.004957     0.003160     0.002549     0.024463     -22150.447640
0.001132      0.005037     0.003212     0.002524     0.024874     -22474.198019
0.001129      0.005111     0.003261     0.002505     0.025273     -23409.511994
0.001127      0.005179     0.003308     0.002490     0.025661     -24690.060818
0.001124      0.005238     0.003351     0.002481     0.026031     -23945.047215
0.001123      0.005288     0.003390     0.002477     0.026383     -25510.103962
0.001121      0.005326     0.003424     0.002481     0.026711     -22769.025100
0.001120      0.005354     0.003453     0.002491     0.027020     -22337.388209
0.001123      0.005295     0.003444     0.002557     0.027157     -21995.190765
0.001114      0.005523     0.003559     0.002439     0.027834     -21917.952171
0.001107      0.005731     0.003666     0.002343     0.028478     -21977.382649
0.001100      0.005922     0.003766     0.002262     0.029095     -22210.393114
0.001097      0.006029     0.003830     0.002230     0.029560     -22725.199718
0.001093      0.006147     0.003898     0.002194     0.030046     -23371.043345
0.001089      0.006259     0.003964     0.002162     0.030522     -26173.690623
0.001085      0.006367     0.004028     0.002133     0.030993     -26542.676118
0.001082      0.006474     0.004092     0.002106     0.031461     -26574.228593
0.001079      0.006575     0.004154     0.002082     0.031921     -23903.964776
0.001076      0.006673     0.004215     0.002060     0.032377     -23544.591206
0.001073      0.006767     0.004274     0.002040     0.032826     -23459.339732
0.001070      0.006857     0.004330     0.002023     0.033267     -23800.035849
0.001068      0.006942     0.004386     0.002008     0.033701     -24495.441248
0.001065      0.007020     0.004438     0.001996     0.034121     -27564.993845
0.001063      0.007087     0.004486     0.001989     0.034522     -29344.290604
